variant,label,profile,window_name,window_label,window_group,analysis_start,analysis_end,account_capital,c3_capital,risk_multiplier,trading_days,end_equity,total_return_pct,cagr_pct,max_dd_pct,ulcer_pct,sharpe,min_equity,max_broker10_margin_to_equity_pct,p95_broker10_margin_to_equity_pct,days_over_100pct,days_over_90pct,days_equity_below_zero,total_slippage,total_trade_count,nonzero_daily_win_rate_pct,forced_margin_deleverage_count,forced_margin_deleverage_closed_volume,dd30_pass,dd40_pass,broker10_100_pass,account_survival_pass,deployable_pass,source_name,rebased_end_equity,rebased_total_return_pct,rebased_cagr_pct,rebased_max_dd_pct,rebased_sharpe,rebased_min_equity,max_broker10_margin_to_rebased_equity_pct,p95_broker10_margin_to_rebased_equity_pct,nav_end,oi_mode,am_label,declared_am_size,note,requested_start_month,start_month,start_year,start_month_num,positive_return,mature_63d,mature_126d,mature_252d,dd40_fail,dd50_fail,arm,experiment_arm,requested_top_n,window_id,duration_years,requested_start,requested_end,complete_window,terminal_near_complete,promotion_arm,random_draw_index
stage064_C_random_1y_007_20181206,C: Top10+fu（11品种）,stage064_C_random_1y_007_20181206,random_1y_007_20181206,2018-12-06 random independent start to 2019-12-05,random_1y,2018-12-06,2019-12-05,150000.0,150000.0,0.4,243,190777.10000000003,27.184733333333355,27.289804761630208,-18.865747749183328,8.63502882522937,1.0754015275746849,127289.50000000004,59.157017169214996,41.963397206341206,0,0,0,6340.0,74.0,48.07692307692308,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,190777.10000000003,27.184733333333355,27.289804761630208,-18.865747749183328,1.0754015275746849,127289.50000000004,59.157017169214996,41.963397206341206,1.2718473333333336,,,,,2018-12,2018-12,2018,12,1,1,1,0,0,0,C,C,10,random_1y_007_20181206,1,2018-12-06,2019-12-05,1,0,C,7
stage064_A_random_1y_008_20200618,A: 正式Stage037 Top8+fu（9品种）,stage064_A_random_1y_008_20200618,random_1y_008_20200618,2020-06-18 random independent start to 2021-06-17,random_1y,2020-06-18,2021-06-17,150000.0,150000.0,0.4,242,728638.3,385.7588666666667,388.402581390472,-22.16762691596913,9.356031233663922,3.353677720099583,139860.0,65.6617768684978,58.69934589062494,0,0,0,16860.0,126.0,57.36040609137056,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,728638.3,385.7588666666667,388.402581390472,-22.16762691596913,3.353677720099583,139860.0,65.6617768684978,58.69934589062494,4.8575886666666666,,,,,2020-06,2020-06,2020,6,1,1,1,0,0,0,A,A,8,random_1y_008_20200618,1,2020-06-18,2021-06-17,1,0,A,8
stage064_B_random_1y_008_20200618,B: Top9+fu（10品种）,stage064_B_random_1y_008_20200618,random_1y_008_20200618,2020-06-18 random independent start to 2021-06-17,random_1y,2020-06-18,2021-06-17,150000.0,150000.0,0.4,242,728638.3,385.7588666666667,388.402581390472,-22.16762691596913,9.356031233663922,3.353677720099583,139860.0,65.6617768684978,58.69934589062494,0,0,0,16860.0,126.0,57.36040609137056,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,728638.3,385.7588666666667,388.402581390472,-22.16762691596913,3.353677720099583,139860.0,65.6617768684978,58.69934589062494,4.8575886666666666,,,,,2020-06,2020-06,2020,6,1,1,1,0,0,0,B,B,9,random_1y_008_20200618,1,2020-06-18,2021-06-17,1,0,B,8
stage064_C_random_1y_008_20200618,C: Top10+fu（11品种）,stage064_C_random_1y_008_20200618,random_1y_008_20200618,2020-06-18 random independent start to 2021-06-17,random_1y,2020-06-18,2021-06-17,150000.0,150000.0,0.4,242,728638.3,385.7588666666667,388.402581390472,-22.16762691596913,9.356031233663922,3.353677720099583,139860.0,65.6617768684978,58.69934589062494,0,0,0,16860.0,126.0,57.36040609137056,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,728638.3,385.7588666666667,388.402581390472,-22.16762691596913,3.353677720099583,139860.0,65.6617768684978,58.69934589062494,4.8575886666666666,,,,,2020-06,2020-06,2020,6,1,1,1,0,0,0,C,C,10,random_1y_008_20200618,1,2020-06-18,2021-06-17,1,0,C,8
stage064_A_random_1y_009_20231017,A: 正式Stage037 Top8+fu（9品种）,stage064_A_random_1y_009_20231017,random_1y_009_20231017,2023-10-17 random independent start to 2024-10-16,random_1y,2023-10-17,2024-10-16,150000.0,150000.0,0.4,242,214015.0,42.67666666666668,42.71140296976357,-10.21780831896656,4.699275858421714,1.588196936862749,142580.0,46.331781206171115,31.313691315479293,0,0,0,3840.0,61.0,55.625,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,214015.0,42.67666666666668,42.71140296976357,-10.21780831896656,1.588196936862749,142580.0,46.331781206171115,31.313691315479293,1.4267666666666667,,,,,2023-10,2023-10,2023,10,1,1,1,0,0,0,A,A,8,random_1y_009_20231017,1,2023-10-17,2024-10-16,1,0,A,9
stage064_B_random_1y_009_20231017,B: Top9+fu（10品种）,stage064_B_random_1y_009_20231017,random_1y_009_20231017,2023-10-17 random independent start to 2024-10-16,random_1y,2023-10-17,2024-10-16,150000.0,150000.0,0.4,242,210365.0,40.24333333333334,40.27582444764546,-11.360391103366483,5.522912314515504,1.490997784961016,142580.0,47.382991263528496,31.388926941170865,0,0,0,3890.0,61.0,55.55555555555556,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,210365.0,40.24333333333334,40.27582444764546,-11.360391103366483,1.490997784961016,142580.0,47.382991263528496,31.388926941170865,1.4024333333333334,,,,,2023-10,2023-10,2023,10,1,1,1,0,0,0,B,B,9,random_1y_009_20231017,1,2023-10-17,2024-10-16,1,0,B,9
stage064_C_random_1y_009_20231017,C: Top10+fu（11品种）,stage064_C_random_1y_009_20231017,random_1y_009_20231017,2023-10-17 random independent start to 2024-10-16,random_1y,2023-10-17,2024-10-16,150000.0,150000.0,0.4,242,301645.0,101.09666666666666,101.19291520987424,-11.360391103366483,4.489800374852783,2.633850249853829,142580.0,47.382991263528496,36.93823630831717,0,0,0,5110.0,67.0,57.30337078651685,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,301645.0,101.09666666666666,101.19291520987424,-11.360391103366483,2.633850249853829,142580.0,47.382991263528496,36.93823630831717,2.0109666666666666,,,,,2023-10,2023-10,2023,10,1,1,1,0,0,0,C,C,10,random_1y_009_20231017,1,2023-10-17,2024-10-16,1,0,C,9
stage064_A_random_1y_010_20180706,A: 正式Stage037 Top8+fu（9品种）,stage064_A_random_1y_010_20180706,random_1y_010_20180706,2018-07-06 random independent start to 2019-07-05,random_1y,2018-07-06,2019-07-05,150000.0,150000.0,0.4,243,141107.00000000006,-5.928666666666627,-5.948408212148115,-20.266562493347717,9.317210000487256,-0.168877806472944,138587.00000000006,67.61363813607065,32.99794554719617,0,0,0,4570.0,67.0,45.45454545454545,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,141107.00000000006,-5.928666666666627,-5.948408212148115,-20.266562493347717,-0.168877806472944,138587.00000000006,67.61363813607065,32.99794554719617,0.9407133333333336,,,,,2018-07,2018-07,2018,7,0,1,1,0,0,0,A,A,8,random_1y_010_20180706,1,2018-07-06,2019-07-05,1,0,A,10
stage064_B_random_1y_010_20180706,B: Top9+fu（10品种）,stage064_B_random_1y_010_20180706,random_1y_010_20180706,2018-07-06 random independent start to 2019-07-05,random_1y,2018-07-06,2019-07-05,150000.0,150000.0,0.4,243,141107.00000000006,-5.928666666666627,-5.948408212148115,-20.266562493347717,9.317210000487256,-0.168877806472944,138587.00000000006,67.61363813607065,32.99794554719617,0,0,0,4570.0,67.0,45.45454545454545,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,141107.00000000006,-5.928666666666627,-5.948408212148115,-20.266562493347717,-0.168877806472944,138587.00000000006,67.61363813607065,32.99794554719617,0.9407133333333336,,,,,2018-07,2018-07,2018,7,0,1,1,0,0,0,B,B,9,random_1y_010_20180706,1,2018-07-06,2019-07-05,1,0,B,10
stage064_C_random_1y_010_20180706,C: Top10+fu（11品种）,stage064_C_random_1y_010_20180706,random_1y_010_20180706,2018-07-06 random independent start to 2019-07-05,random_1y,2018-07-06,2019-07-05,150000.0,150000.0,0.4,243,141107.00000000006,-5.928666666666627,-5.948408212148115,-20.266562493347717,9.317210000487256,-0.168877806472944,138587.00000000006,67.61363813607065,32.99794554719617,0,0,0,4570.0,67.0,45.45454545454545,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,141107.00000000006,-5.928666666666627,-5.948408212148115,-20.266562493347717,-0.168877806472944,138587.00000000006,67.61363813607065,32.99794554719617,0.9407133333333336,,,,,2018-07,2018-07,2018,7,0,1,1,0,0,0,C,C,10,random_1y_010_20180706,1,2018-07-06,2019-07-05,1,0,C,10
stage064_A_random_1y_011_20190722,A: 正式Stage037 Top8+fu（9品种）,stage064_A_random_1y_011_20190722,random_1y_011_20190722,2019-07-22 random independent start to 2020-07-21,random_1y,2019-07-22,2020-07-21,150000.0,150000.0,0.4,243,369750.00000000006,146.50000000000003,146.65236918259097,-12.495827073944255,4.110004487656351,3.008426284161054,150000.0,60.98686221775053,53.636160893437086,0,0,0,11870.0,99.0,61.63522012578616,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,369750.00000000006,146.50000000000003,146.65236918259097,-12.495827073944255,3.008426284161054,150000.0,60.98686221775053,53.636160893437086,2.4650000000000003,,,,,2019-07,2019-07,2019,7,1,1,1,0,0,0,A,A,8,random_1y_011_20190722,1,2019-07-22,2020-07-21,1,0,A,11
stage064_B_random_1y_011_20190722,B: Top9+fu（10品种）,stage064_B_random_1y_011_20190722,random_1y_011_20190722,2019-07-22 random independent start to 2020-07-21,random_1y,2019-07-22,2020-07-21,150000.0,150000.0,0.4,243,369750.00000000006,146.50000000000003,146.65236918259097,-12.495827073944255,4.110004487656351,3.008426284161054,150000.0,60.98686221775053,53.636160893437086,0,0,0,11870.0,99.0,61.63522012578616,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,369750.00000000006,146.50000000000003,146.65236918259097,-12.495827073944255,3.008426284161054,150000.0,60.98686221775053,53.636160893437086,2.4650000000000003,,,,,2019-07,2019-07,2019,7,1,1,1,0,0,0,B,B,9,random_1y_011_20190722,1,2019-07-22,2020-07-21,1,0,B,11
