window_id,window_group,duration_years,requested_start,requested_end,start_month_num,complete_window,terminal_near_complete,comparison,left_arm,right_arm,left_end_equity,right_end_equity,left_return_pct,right_return_pct,delta_return_pct,left_max_dd_pct,right_max_dd_pct,dd_worsening_pp,left_sharpe,right_sharpe,delta_sharpe,left_slippage,right_slippage,left_trades,right_trades,left_win_rate_pct,right_win_rate_pct,left_survival_pass,right_survival_pass,left_broker100_pass,right_broker100_pass,left_broker10_peak_pct,right_broker10_peak_pct,left_days_over_100pct,right_days_over_100pct,return_win,right_positive,left_positive,dd_noninferior_2pp,sharpe_noninferior_005,left_dd40_fail,right_dd40_fail,left_dd50_fail,right_dd50_fail
roll_2y_2021_06,rolling_2y,2,2021-06-01,2023-05-31,6,1,0,C_vs_Q,C,Q,182310.0,208370.0,21.540000000000003,38.913333333333334,17.37333333333333,-48.53489159891598,-40.54216007989727,0.0,0.4449981010297625,0.6176109490952043,0.1726128480654418,14560.0,13630.0,194,191,47.61904761904761,47.88732394366197,1,1,1,1,65.00254893676947,60.34611735436125,0,0,1,1,1,1,1,1,1,0,0
roll_2y_2021_06,rolling_2y,2,2021-06-01,2023-05-31,6,1,0,P_vs_Q,P,Q,208370.0,208370.0,38.913333333333334,38.913333333333334,0.0,-40.54216007989727,-40.54216007989727,0.0,0.6176109490952043,0.6176109490952043,0.0,13630.0,13630.0,191,191,47.88732394366197,47.88732394366197,1,1,1,1,60.34611735436125,60.34611735436125,0,0,1,1,1,1,1,1,1,0,0
roll_2y_2022_01,rolling_2y,2,2022-01-01,2023-12-31,1,1,0,A_vs_C,A,C,136010.0,131085.0,-9.326666666666672,-12.61,-3.283333333333328,-39.982045671323576,-46.06962380685008,6.087578135526506,0.0413784319674218,0.0201998947319108,-0.021178537235511004,6620.0,7070.0,137,137,45.8498023715415,45.78313253012048,1,1,1,1,64.51003789405789,64.51003789405789,0,0,0,0,0,0,1,0,1,0,0
roll_2y_2022_01,rolling_2y,2,2022-01-01,2023-12-31,1,1,0,A_vs_P,A,P,136010.0,128265.0,-9.326666666666672,-14.490000000000002,-5.16333333333333,-39.982045671323576,-42.84059314179795,2.8585474704743774,0.0413784319674218,-0.0180884506482639,-0.0594668826156857,6620.0,6690.0,137,133,45.8498023715415,47.05882352941176,1,1,1,1,64.51003789405789,66.51248496066636,0,0,0,0,0,0,0,0,1,0,0
roll_2y_2022_01,rolling_2y,2,2022-01-01,2023-12-31,1,1,0,C_vs_P,C,P,131085.0,128265.0,-12.61,-14.490000000000002,-1.8800000000000026,-46.06962380685008,-42.84059314179795,0.0,0.0201998947319108,-0.0180884506482639,-0.0382883453801747,7070.0,6690.0,137,133,45.78313253012048,47.05882352941176,1,1,1,1,64.51003789405789,66.51248496066636,0,0,0,0,0,1,1,1,1,0,0
roll_2y_2022_01,rolling_2y,2,2022-01-01,2023-12-31,1,1,0,A_vs_Q,A,Q,136010.0,128265.0,-9.326666666666672,-14.490000000000002,-5.16333333333333,-39.982045671323576,-42.84059314179795,2.8585474704743774,0.0413784319674218,-0.0180884506482639,-0.0594668826156857,6620.0,6690.0,137,133,45.8498023715415,47.05882352941176,1,1,1,1,64.51003789405789,66.51248496066636,0,0,0,0,0,0,0,0,1,0,0
roll_2y_2022_01,rolling_2y,2,2022-01-01,2023-12-31,1,1,0,C_vs_Q,C,Q,131085.0,128265.0,-12.61,-14.490000000000002,-1.8800000000000026,-46.06962380685008,-42.84059314179795,0.0,0.0201998947319108,-0.0180884506482639,-0.0382883453801747,7070.0,6690.0,137,133,45.78313253012048,47.05882352941176,1,1,1,1,64.51003789405789,66.51248496066636,0,0,0,0,0,1,1,1,1,0,0
roll_2y_2022_01,rolling_2y,2,2022-01-01,2023-12-31,1,1,0,P_vs_Q,P,Q,128265.0,128265.0,-14.490000000000002,-14.490000000000002,0.0,-42.84059314179795,-42.84059314179795,0.0,-0.0180884506482639,-0.0180884506482639,0.0,6690.0,6690.0,133,133,47.05882352941176,47.05882352941176,1,1,1,1,66.51248496066636,66.51248496066636,0,0,1,0,0,1,1,1,1,0,0
roll_2y_2022_06,rolling_2y,2,2022-06-01,2024-05-31,6,1,0,A_vs_C,A,C,256045.0,252405.0,70.69666666666667,68.27000000000001,-2.4266666666666623,-50.299468443512765,-50.87968855281875,0.5802201093059836,0.8671433036432954,0.8472721368561048,-0.019871166787190586,11970.0,12100.0,138,142,50.57034220532319,50.378787878787875,1,1,1,1,73.2633704283142,74.52611476443565,0,0,0,1,1,1,1,1,1,1,1
roll_2y_2022_06,rolling_2y,2,2022-06-01,2024-05-31,6,1,0,A_vs_P,A,P,256045.0,254865.0,70.69666666666667,69.91000000000001,-0.7866666666666617,-50.299468443512765,-52.901100546529925,2.6016321030171596,0.8671433036432954,0.8547694816134521,-0.012373822029843273,11970.0,12050.0,138,142,50.57034220532319,50.95057034220533,1,1,1,1,73.2633704283142,74.71771721145141,0,0,0,1,1,0,1,1,1,1,1
