diagnostic_index,datetime,date,contract_vt_symbol,product_vt_symbol,direction,entry_context,long_signal_range_atr_enabled,long_signal_range_atr_long_enabled,long_signal_range_atr_short_enabled,long_signal_range_lookback,long_signal_range_atr_period,long_signal_range_atr_multiplier,long_signal_range_require_recent_stall,long_signal_range_recent_gain_lookback,long_signal_range_recent_gain_atr_multiplier,long_signal_range_enable_ordered_drawdown_filter,long_signal_range_ordered_drawdown_atr_multiplier,long_signal_range_atr_entry_context,long_signal_range_atr_direction,long_signal_range_high,long_signal_range_low,long_signal_range_value,long_signal_range_prior_atr,long_signal_range_atr_threshold,long_signal_range_recent_gain,long_signal_range_directional_recent_move,long_signal_range_recent_gain_atr_threshold,long_signal_range_recent_stall_condition_met,long_signal_range_expansion_stall_condition_met,long_signal_range_ordered_drawdown_peak,long_signal_range_ordered_drawdown_trough,long_signal_range_ordered_drawdown_value,long_signal_range_ordered_drawdown_atr_threshold,long_signal_range_ordered_drawdown_peak_index,long_signal_range_ordered_drawdown_trough_index,long_signal_range_ordered_drawdown_peak_history_index,long_signal_range_ordered_drawdown_trough_history_index,long_signal_range_ordered_drawdown_condition_met,long_signal_range_ordered_move_kind,long_signal_range_atr_condition_met,long_signal_range_atr_reason,long_signal_range_atr_blocked,long_signal_range_atr_selected_volume_before,long_signal_range_atr_selected_volume_after,profile,start_month,variant,account_capital,c3_capital,experiment_arm
21,2018-06-28 00:00:00+08:00,2018-06-28,OI809.CZCE,OI.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,6821.0,6386.0,435.0,76.4,229.20000000000002,-3.0,3.0,38.2,1,1,6630.0,6388.0,242.0,305.6,3,2,34,33,0,rebound,1,short_range_strictly_above_and_recent_decline_below_threshold,1,4,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
22,2018-07-06 00:00:00+08:00,2018-07-06,MA809.CZCE,MA.CZCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,2919.0,2688.0,231.0,53.2,159.60000000000002,70.0,70.0,26.6,0,0,2769.0,2688.0,81.0,212.8,0,1,31,32,0,drawdown,0,range_above_but_recent_gain_not_stalled,0,9,9,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
23,2018-07-11 00:00:00+08:00,2018-07-11,hc1810.SHFE,hc.SHFE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,3970.0,3803.0,167.0,71.0,213.0,101.0,101.0,35.5,0,0,3930.0,3803.0,127.0,284.0,1,6,32,37,0,drawdown,0,range_not_above_threshold,0,4,4,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
24,2018-07-16 00:00:00+08:00,2018-07-16,fu1905.SHFE,fu.SHFE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,3846.0,2879.0,967.0,0.0,0.0,-917.0,917.0,0.0,0,0,3846.0,3846.0,0.0,0.0,1,0,32,31,0,rebound,0,invalid_prior_atr_or_range,0,3,3,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
25,2018-07-20 00:00:00+08:00,2018-07-20,au1812.SHFE,au.SHFE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,273.4,268.6,4.7999999999999545,1.4100000000000024,4.2300000000000075,-0.9000000000000341,0.9000000000000341,0.7050000000000012,0,0,271.1,268.6,2.5,5.6400000000000095,9,7,40,38,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,1,1,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
26,2018-07-26 00:00:00+08:00,2018-07-26,SM809.CZCE,SM.CZCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,8180.0,7748.0,432.0,132.0,396.0,218.0,218.0,66.0,0,0,8008.0,7748.0,260.0,528.0,0,2,31,33,0,drawdown,0,range_above_but_recent_gain_not_stalled,0,7,7,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
27,2018-07-30 00:00:00+08:00,2018-07-30,FG809.CZCE,FG.CZCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,1498.0,1463.0,35.0,15.4,46.2,7.0,7.0,7.7,1,0,1498.0,1469.0,29.0,61.6,5,8,36,39,0,drawdown,0,range_not_above_threshold,0,9,9,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
28,2018-08-02 00:00:00+08:00,2018-08-02,SM809.CZCE,SM.CZCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,8312.0,7776.0,536.0,147.2,441.59999999999997,116.0,116.0,73.6,0,0,8312.0,8122.0,190.0,588.8,7,9,38,40,0,drawdown,0,range_above_but_recent_gain_not_stalled,0,7,7,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
29,2018-08-13 00:00:00+08:00,2018-08-13,hc1810.SHFE,hc.SHFE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,4287.0,4125.0,162.0,72.2,216.60000000000002,64.0,64.0,36.1,0,0,4266.0,4125.0,141.0,288.8,1,2,32,33,0,drawdown,0,range_not_above_threshold,0,2,2,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
30,2018-09-05 00:00:00+08:00,2018-09-05,CF901.CZCE,CF.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,17190.0,16545.0,645.0,284.0,852.0,-20.0,20.0,142.0,1,0,17190.0,16685.0,505.0,1136.0,2,1,33,32,0,rebound,0,range_not_above_threshold,0,3,3,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
31,2018-09-20 00:00:00+08:00,2018-09-20,AP901.CZCE,AP.CZCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,12396.0,11590.0,806.0,316.8,950.4000000000001,514.0,514.0,158.4,0,0,12049.0,11590.0,459.0,1267.2,4,7,35,38,0,drawdown,0,range_not_above_threshold,0,2,2,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
32,2018-10-12 00:00:00+08:00,2018-10-12,au1812.SHFE,au.SHFE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,273.8,264.85,8.949999999999989,2.399999999999989,7.199999999999966,4.9500000000000455,4.9500000000000455,1.1999999999999944,0,0,269.35,264.85,4.5,9.599999999999955,0,4,31,35,0,drawdown,0,range_above_but_recent_gain_not_stalled,0,1,1,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
33,2018-10-15 00:00:00+08:00,2018-10-15,OI901.CZCE,OI.CZCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,6848.0,6576.0,272.0,94.4,283.20000000000005,-45.0,-45.0,47.2,1,0,6848.0,6691.0,157.0,377.6,6,7,37,38,0,drawdown,0,range_not_above_threshold,0,4,4,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
34,2018-10-26 00:00:00+08:00,2018-10-26,CF901.CZCE,CF.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,15700.0,15015.0,685.0,196.0,588.0,-290.0,290.0,98.0,0,0,15425.0,15175.0,250.0,784.0,6,4,37,35,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,3,3,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
35,2018-10-26 00:00:00+08:00,2018-10-26,OI901.CZCE,OI.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,6815.0,6516.0,299.0,71.2,213.60000000000002,-98.0,98.0,35.6,0,0,6736.0,6662.0,74.0,284.8,6,4,37,35,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,5,5,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
36,2018-10-31 00:00:00+08:00,2018-10-31,OI901.CZCE,OI.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,6771.0,6500.0,271.0,81.6,244.79999999999998,-2.0,2.0,40.8,1,1,6650.0,6500.0,150.0,326.4,8,7,39,38,0,rebound,1,short_range_strictly_above_and_recent_decline_below_threshold,1,4,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
37,2018-10-31 00:00:00+08:00,2018-10-31,hc1901.SHFE,hc.SHFE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,3988.0,3751.0,237.0,77.4,232.20000000000002,-125.0,125.0,38.7,0,0,3968.0,3833.0,135.0,309.6,6,1,37,32,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,7,7,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
38,2018-11-01 00:00:00+08:00,2018-11-01,MA901.CZCE,MA.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,3398.0,2905.0,493.0,102.0,306.0,-149.0,149.0,51.0,0,0,3382.0,3286.0,96.0,408.0,4,3,35,34,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,7,7,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
39,2018-11-12 00:00:00+08:00,2018-11-12,rb1901.SHFE,rb.SHFE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,4206.0,3818.0,388.0,87.0,261.0,-82.0,82.0,43.5,0,0,4003.0,3878.0,125.0,348.0,8,7,39,38,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,3,3,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
40,2018-11-23 00:00:00+08:00,2018-11-23,CF901.CZCE,CF.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,15080.0,14335.0,745.0,244.0,732.0,-185.0,185.0,122.0,0,0,14785.0,14335.0,450.0,976.0,8,7,39,38,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,4,4,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
