diagnostic_index,datetime,date,contract_vt_symbol,product_vt_symbol,direction,entry_context,long_signal_range_atr_enabled,long_signal_range_atr_long_enabled,long_signal_range_atr_short_enabled,long_signal_range_lookback,long_signal_range_atr_period,long_signal_range_atr_multiplier,long_signal_range_require_recent_stall,long_signal_range_recent_gain_lookback,long_signal_range_recent_gain_atr_multiplier,long_signal_range_enable_ordered_drawdown_filter,long_signal_range_ordered_drawdown_atr_multiplier,long_signal_range_atr_entry_context,long_signal_range_atr_direction,long_signal_range_high,long_signal_range_low,long_signal_range_value,long_signal_range_prior_atr,long_signal_range_atr_threshold,long_signal_range_recent_gain,long_signal_range_directional_recent_move,long_signal_range_recent_gain_atr_threshold,long_signal_range_recent_stall_condition_met,long_signal_range_expansion_stall_condition_met,long_signal_range_ordered_drawdown_peak,long_signal_range_ordered_drawdown_trough,long_signal_range_ordered_drawdown_value,long_signal_range_ordered_drawdown_atr_threshold,long_signal_range_ordered_drawdown_peak_index,long_signal_range_ordered_drawdown_trough_index,long_signal_range_ordered_drawdown_peak_history_index,long_signal_range_ordered_drawdown_trough_history_index,long_signal_range_ordered_drawdown_condition_met,long_signal_range_ordered_move_kind,long_signal_range_atr_condition_met,long_signal_range_atr_reason,long_signal_range_atr_blocked,long_signal_range_atr_selected_volume_before,long_signal_range_atr_selected_volume_after,profile,start_month,variant,account_capital,c3_capital,experiment_arm
564,2023-09-18 00:00:00+08:00,2023-09-18,rb2401.SHFE,rb.SHFE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,3846.0,3707.0,139.0,47.8,143.39999999999998,65.0,65.0,23.9,0,0,3839.0,3707.0,132.0,191.2,0,4,31,35,0,drawdown,0,range_not_above_threshold,0,228,228,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
565,2023-09-18 00:00:00+08:00,2023-09-18,sp2401.SHFE,sp.SHFE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,5980.0,5630.0,350.0,98.8,296.4,240.0,240.0,49.4,0,0,5888.0,5630.0,258.0,395.2,0,3,31,34,0,drawdown,0,range_above_but_recent_gain_not_stalled,0,96,96,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
566,2023-09-26 00:00:00+08:00,2023-09-26,AP401.CZCE,AP.CZCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,9400.0,9020.0,380.0,137.0,411.0,242.0,242.0,68.5,0,0,9400.0,9020.0,380.0,548.0,2,5,33,36,0,drawdown,0,range_not_above_threshold,0,138,138,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
567,2023-09-26 00:00:00+08:00,2023-09-26,hc2401.SHFE,hc.SHFE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,3971.0,3746.0,225.0,65.2,195.60000000000002,-84.0,84.0,32.6,0,0,3971.0,3823.0,148.0,260.8,4,0,35,31,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,389,389,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
568,2023-09-28 00:00:00+08:00,2023-09-28,lh2311.DCE,lh.DCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,17295.0,16420.0,875.0,258.0,774.0,-210.0,210.0,129.0,0,0,17045.0,16630.0,415.0,1032.0,3,2,34,33,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,58,58,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
569,2023-10-11 00:00:00+08:00,2023-10-11,cu2311.SHFE,cu.SHFE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,68950.0,66190.0,2760.0,594.0,1782.0,-310.0,310.0,297.0,0,0,68170.0,67300.0,870.0,2376.0,3,2,34,33,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,46,46,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
570,2023-10-12 00:00:00+08:00,2023-10-12,rb2401.SHFE,rb.SHFE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,3850.0,3590.0,260.0,46.2,138.60000000000002,-11.0,11.0,23.1,1,1,3717.0,3665.0,52.0,184.8,5,3,36,34,0,rebound,1,short_range_strictly_above_and_recent_decline_below_threshold,1,500,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
571,2023-10-13 00:00:00+08:00,2023-10-13,SA401.CZCE,SA.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,1884.0,1666.0,218.0,54.0,162.0,21.0,-21.0,27.0,1,1,1738.0,1666.0,72.0,216.0,9,6,40,37,0,rebound,1,short_range_strictly_above_and_recent_decline_below_threshold,1,431,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
572,2023-10-17 00:00:00+08:00,2023-10-17,CF401.CZCE,CF.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,17815.0,16630.0,1185.0,320.0,960.0,-275.0,275.0,160.0,0,0,17815.0,17145.0,670.0,1280.0,3,0,34,31,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,163,163,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
573,2023-10-17 00:00:00+08:00,2023-10-17,MA401.CZCE,MA.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,2518.0,2405.0,113.0,54.8,164.39999999999998,-27.0,27.0,27.4,1,0,2484.0,2405.0,79.0,219.2,9,6,40,37,0,rebound,0,range_not_above_threshold,0,250,250,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
574,2023-10-17 00:00:00+08:00,2023-10-17,ru2401.SHFE,ru.SHFE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,14920.0,13760.0,1160.0,313.0,939.0,110.0,110.0,156.5,1,1,14135.0,13760.0,375.0,1252.0,0,1,31,32,0,drawdown,1,range_strictly_above_and_recent_gain_below_threshold,1,105,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
575,2023-10-20 00:00:00+08:00,2023-10-20,SM312.CZCE,SM.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,6976.0,6590.0,386.0,72.0,216.0,-58.0,58.0,36.0,0,0,6752.0,6642.0,110.0,288.0,6,5,37,36,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,447,447,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
576,2023-10-23 00:00:00+08:00,2023-10-23,SA401.CZCE,SA.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,1750.0,1658.0,92.0,40.8,122.39999999999999,-13.0,13.0,20.4,1,0,1748.0,1666.0,82.0,163.2,7,0,38,31,0,rebound,0,range_not_above_threshold,0,188,188,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
577,2023-10-23 00:00:00+08:00,2023-10-23,lh2401.DCE,lh.DCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,16900.0,16110.0,790.0,263.0,789.0,-130.0,130.0,131.5,1,1,16900.0,16285.0,615.0,1052.0,4,1,35,32,0,rebound,1,short_range_strictly_above_and_recent_decline_below_threshold,1,59,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
578,2023-10-23 00:00:00+08:00,2023-10-23,rb2401.SHFE,rb.SHFE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,3672.0,3558.0,114.0,54.8,164.39999999999998,-43.0,43.0,27.4,0,0,3672.0,3590.0,82.0,219.2,5,1,36,32,0,rebound,0,range_not_above_threshold,0,274,274,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
579,2023-10-25 00:00:00+08:00,2023-10-25,FG401.CZCE,FG.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,1706.0,1591.0,115.0,47.4,142.2,-11.0,11.0,23.7,1,0,1706.0,1598.0,108.0,189.6,5,2,36,33,0,rebound,0,range_not_above_threshold,0,317,317,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
580,2023-10-25 00:00:00+08:00,2023-10-25,au2312.SHFE,au.SHFE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,479.44,450.94,28.5,4.680000000000007,14.04000000000002,-2.759999999999991,-2.759999999999991,2.3400000000000034,1,1,479.44,472.22,7.21999999999997,18.720000000000027,7,9,38,40,0,drawdown,1,range_strictly_above_and_recent_gain_below_threshold,1,39,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
581,2023-10-26 00:00:00+08:00,2023-10-26,fu2401.SHFE,fu.SHFE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,3535.0,3290.0,245.0,85.4,256.20000000000005,-44.0,44.0,42.7,0,0,3535.0,3290.0,245.0,341.6,5,0,36,31,0,rebound,0,range_not_above_threshold,0,268,268,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
582,2023-10-27 00:00:00+08:00,2023-10-27,OI401.CZCE,OI.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,9073.0,8358.0,715.0,187.4,562.2,64.0,-64.0,93.7,1,1,8584.0,8358.0,226.0,749.6,9,7,40,38,0,rebound,1,short_range_strictly_above_and_recent_decline_below_threshold,1,112,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
583,2023-10-27 00:00:00+08:00,2023-10-27,si2312.GFEX,si.GFEX,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,14750.0,13920.0,830.0,271.0,813.0,-455.0,455.0,135.5,0,0,14750.0,14315.0,435.0,1084.0,2,1,33,32,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,216,216,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
584,2023-11-02 00:00:00+08:00,2023-11-02,jm2401.DCE,jm.DCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,1844.0,1658.0,186.0,49.1,147.3,-33.5,-33.5,24.55,1,1,1746.0,1658.0,88.0,196.4,0,1,31,32,0,drawdown,1,range_strictly_above_and_recent_gain_below_threshold,1,54,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
585,2023-11-06 00:00:00+08:00,2023-11-06,lc2401.GFEX,lc.GFEX,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,158150.0,146900.0,11250.0,4270.0,12810.0,-6850.0,6850.0,2135.0,0,0,157700.0,148000.0,9700.0,17080.0,5,2,36,33,0,rebound,0,range_not_above_threshold,0,78,78,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
586,2023-11-07 00:00:00+08:00,2023-11-07,lh2401.DCE,lh.DCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,16380.0,15730.0,650.0,228.0,684.0,-490.0,490.0,114.0,0,0,16380.0,15805.0,575.0,912.0,5,1,36,32,0,rebound,0,range_not_above_threshold,0,40,40,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
587,2023-11-09 00:00:00+08:00,2023-11-09,jm2401.DCE,jm.DCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,1987.0,1761.0,226.0,61.1,183.3,69.5,69.5,30.55,0,0,1844.0,1776.0,68.0,244.4,1,4,32,35,0,drawdown,0,range_above_but_recent_gain_not_stalled,0,81,81,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
588,2023-11-10 00:00:00+08:00,2023-11-10,si2401.GFEX,si.GFEX,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,14360.0,13810.0,550.0,232.0,696.0,-40.0,40.0,116.0,1,0,14280.0,13810.0,470.0,928.0,9,7,40,38,0,rebound,0,range_not_above_threshold,0,134,134,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
589,2023-11-13 00:00:00+08:00,2023-11-13,sp2401.SHFE,sp.SHFE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,6230.0,5850.0,380.0,137.6,412.79999999999995,-200.0,200.0,68.8,0,0,6230.0,5942.0,288.0,550.4,6,0,37,31,0,rebound,0,range_not_above_threshold,0,295,295,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
590,2023-11-14 00:00:00+08:00,2023-11-14,SA401.CZCE,SA.CZCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,2228.0,1711.0,517.0,116.6,349.79999999999995,54.0,54.0,58.3,1,1,2228.0,2008.0,220.0,466.4,8,9,39,40,0,drawdown,1,range_strictly_above_and_recent_gain_below_threshold,1,164,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
591,2023-11-17 00:00:00+08:00,2023-11-17,fu2401.SHFE,fu.SHFE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,3360.0,3061.0,299.0,65.6,196.79999999999998,-116.0,116.0,32.8,0,0,3236.0,3061.0,175.0,262.4,7,2,38,33,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,263,263,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
592,2023-11-20 00:00:00+08:00,2023-11-20,FG401.CZCE,FG.CZCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,1779.0,1656.0,123.0,41.6,124.80000000000001,77.0,77.0,20.8,0,0,1779.0,1656.0,123.0,166.4,3,5,34,36,0,drawdown,0,range_not_above_threshold,0,117,117,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
593,2023-11-20 00:00:00+08:00,2023-11-20,sp2401.SHFE,sp.SHFE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,6230.0,5850.0,380.0,108.0,324.0,-14.0,14.0,54.0,1,1,6122.0,5850.0,272.0,432.0,8,3,39,34,0,rebound,1,short_range_strictly_above_and_recent_decline_below_threshold,1,72,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
594,2023-11-21 00:00:00+08:00,2023-11-21,CF401.CZCE,CF.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,15950.0,15130.0,820.0,226.0,678.0,-570.0,570.0,113.0,0,0,15950.0,15485.0,465.0,904.0,4,3,35,34,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,104,104,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
595,2023-11-23 00:00:00+08:00,2023-11-23,sp2401.SHFE,sp.SHFE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,6122.0,5744.0,378.0,138.4,415.20000000000005,-204.0,204.0,69.2,0,0,6122.0,5850.0,272.0,553.6,5,0,36,31,0,rebound,0,range_not_above_threshold,0,300,300,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
596,2023-11-24 00:00:00+08:00,2023-11-24,lh2401.DCE,lh.DCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,16000.0,15310.0,690.0,262.0,786.0,-455.0,455.0,131.0,0,0,16000.0,15560.0,440.0,1048.0,5,4,36,35,0,rebound,0,range_not_above_threshold,0,22,22,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
597,2023-11-27 00:00:00+08:00,2023-11-27,ru2401.SHFE,ru.SHFE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,14605.0,13810.0,795.0,241.0,723.0,10.0,-10.0,120.5,1,1,14605.0,14290.0,315.0,964.0,3,0,34,31,0,rebound,1,short_range_strictly_above_and_recent_decline_below_threshold,1,89,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
598,2023-11-29 00:00:00+08:00,2023-11-29,OI401.CZCE,OI.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,8824.0,8361.0,463.0,153.4,460.20000000000005,61.0,-61.0,76.7,1,1,8667.0,8361.0,306.0,613.6,9,7,40,38,0,rebound,1,short_range_strictly_above_and_recent_decline_below_threshold,1,91,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
599,2023-12-01 00:00:00+08:00,2023-12-01,si2401.GFEX,si.GFEX,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,14450.0,13820.0,630.0,191.0,573.0,-35.0,35.0,95.5,1,1,14280.0,14045.0,235.0,764.0,4,2,35,33,0,rebound,1,short_range_strictly_above_and_recent_decline_below_threshold,1,195,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
600,2023-12-04 00:00:00+08:00,2023-12-04,au2402.SHFE,au.SHFE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,486.48,463.82,22.660000000000025,3.5199999999999934,10.559999999999981,6.160000000000025,6.160000000000025,1.7599999999999967,0,0,469.7,464.46,5.240000000000009,14.079999999999973,1,2,32,33,0,drawdown,0,range_above_but_recent_gain_not_stalled,0,31,31,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
601,2023-12-06 00:00:00+08:00,2023-12-06,AP405.CZCE,AP.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,8803.0,8159.0,644.0,220.6,661.8,-499.0,499.0,110.3,0,0,8803.0,8318.0,485.0,882.4,6,2,37,33,0,rebound,0,range_not_above_threshold,0,176,176,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
602,2023-12-07 00:00:00+08:00,2023-12-07,fu2401.SHFE,fu.SHFE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,3260.0,2916.0,344.0,109.4,328.20000000000005,-140.0,140.0,54.7,0,0,3260.0,3036.0,224.0,437.6,5,1,36,32,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,266,266,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
603,2023-12-08 00:00:00+08:00,2023-12-08,hc2405.SHFE,hc.SHFE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,4171.0,3951.0,220.0,61.8,185.39999999999998,178.0,178.0,30.9,0,0,4049.0,3951.0,98.0,247.2,0,7,31,38,0,drawdown,0,range_above_but_recent_gain_not_stalled,0,362,362,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
604,2023-12-12 00:00:00+08:00,2023-12-12,rb2405.SHFE,rb.SHFE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,4076.0,3874.0,202.0,64.0,192.0,49.0,49.0,32.0,0,0,3980.0,3874.0,106.0,256.0,2,5,33,36,0,drawdown,0,range_above_but_recent_gain_not_stalled,0,312,312,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
605,2023-12-25 00:00:00+08:00,2023-12-25,hc2405.SHFE,hc.SHFE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,4157.0,4000.0,157.0,46.0,138.0,72.0,72.0,23.0,0,0,4157.0,4000.0,157.0,184.0,0,4,31,35,0,drawdown,0,range_above_but_recent_gain_not_stalled,0,389,389,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
606,2023-12-29 00:00:00+08:00,2023-12-29,lh2403.DCE,lh.DCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,14520.0,13630.0,890.0,286.0,858.0,-405.0,405.0,143.0,0,0,14335.0,13805.0,530.0,1144.0,6,5,37,36,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,61,61,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
607,2024-01-04 00:00:00+08:00,2024-01-04,jm2405.DCE,jm.DCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,2008.0,1837.0,171.0,67.1,201.29999999999998,-2.0,2.0,33.55,1,0,1983.0,1837.0,146.0,268.4,8,7,39,38,0,rebound,0,range_not_above_threshold,0,71,71,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
608,2024-01-08 00:00:00+08:00,2024-01-08,SM403.CZCE,SM.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,6582.0,6338.0,244.0,84.8,254.39999999999998,-102.0,102.0,42.4,0,0,6580.0,6436.0,144.0,339.2,2,1,33,32,0,rebound,0,range_not_above_threshold,0,422,422,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
609,2024-01-10 00:00:00+08:00,2024-01-10,AP405.CZCE,AP.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,8425.0,8052.0,373.0,168.4,505.20000000000005,-113.0,113.0,84.2,0,0,8425.0,8113.0,312.0,673.6,5,3,36,34,0,rebound,0,range_not_above_threshold,0,165,165,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
610,2024-01-10 00:00:00+08:00,2024-01-10,MA405.CZCE,MA.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,2462.0,2296.0,166.0,33.6,100.80000000000001,-87.0,87.0,16.8,0,0,2462.0,2401.0,61.0,134.4,2,0,33,31,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,226,226,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
611,2024-01-11 00:00:00+08:00,2024-01-11,fu2403.SHFE,fu.SHFE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,3125.0,2905.0,220.0,100.8,302.4,-58.0,58.0,50.4,0,0,3125.0,2919.0,206.0,403.2,4,1,35,32,0,rebound,0,range_not_above_threshold,0,176,176,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
612,2024-01-12 00:00:00+08:00,2024-01-12,SA405.CZCE,SA.CZCE,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,2095.0,1813.0,282.0,59.6,178.8,-100.0,100.0,29.8,0,0,2095.0,1985.0,110.0,238.4,3,2,34,33,0,rebound,0,short_range_above_but_recent_decline_not_stalled,0,247,247,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
613,2024-01-18 00:00:00+08:00,2024-01-18,CF405.CZCE,CF.CZCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,15900.0,15315.0,585.0,164.0,492.0,455.0,455.0,82.0,0,0,15735.0,15315.0,420.0,656.0,0,2,31,33,0,drawdown,0,range_above_but_recent_gain_not_stalled,0,56,56,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
614,2024-01-19 00:00:00+08:00,2024-01-19,si2403.GFEX,si.GFEX,short,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,short,14055.0,13215.0,840.0,229.0,687.0,-65.0,65.0,114.5,1,1,13550.0,13215.0,335.0,916.0,9,8,40,39,0,rebound,1,short_range_strictly_above_and_recent_decline_below_threshold,1,199,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
615,2024-01-25 00:00:00+08:00,2024-01-25,SH405.CZCE,SH.CZCE,long,flat_entry,1,1,1,10,5,3.0,1,3,0.5,1,4.0,flat_entry,long,2858.0,2673.0,185.0,62.6,187.8,-40.0,-40.0,31.3,1,0,2858.0,2765.0,93.0,250.4,6,8,37,39,0,drawdown,0,range_not_above_threshold,0,160,160,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
