diagnostic_index,datetime,date,contract_vt_symbol,product_vt_symbol,direction,entry_context,long_signal_range_atr_enabled,long_signal_range_lookback,long_signal_range_atr_period,long_signal_range_atr_multiplier,long_signal_range_atr_entry_context,long_signal_range_atr_direction,long_signal_range_high,long_signal_range_low,long_signal_range_value,long_signal_range_prior_atr,long_signal_range_atr_threshold,long_signal_range_atr_condition_met,long_signal_range_atr_reason,long_signal_range_atr_blocked,long_signal_range_atr_selected_volume_before,long_signal_range_atr_selected_volume_after,profile,start_month,variant,account_capital,c3_capital,experiment_arm
27,2018-07-30 00:00:00+08:00,2018-07-30,FG809.CZCE,FG.CZCE,long,flat_entry,1,10,5,3.0,flat_entry,long,1498.0,1463.0,35.0,15.4,46.2,0,range_not_above_threshold,0,10,10,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
28,2018-08-02 00:00:00+08:00,2018-08-02,SM809.CZCE,SM.CZCE,long,flat_entry,1,10,5,3.0,flat_entry,long,8312.0,7776.0,536.0,147.2,441.59999999999997,1,range_strictly_above_threshold,1,7,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
29,2018-08-13 00:00:00+08:00,2018-08-13,hc1810.SHFE,hc.SHFE,long,flat_entry,1,10,5,3.0,flat_entry,long,4287.0,4125.0,162.0,72.2,216.60000000000002,0,range_not_above_threshold,0,2,2,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
30,2018-09-05 00:00:00+08:00,2018-09-05,CF901.CZCE,CF.CZCE,short,flat_entry,1,10,5,3.0,flat_entry,short,,,,,,0,direction_excluded,0,3,3,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
31,2018-09-20 00:00:00+08:00,2018-09-20,AP901.CZCE,AP.CZCE,long,flat_entry,1,10,5,3.0,flat_entry,long,12396.0,11590.0,806.0,316.8,950.4000000000001,0,range_not_above_threshold,0,2,2,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
32,2018-10-12 00:00:00+08:00,2018-10-12,au1812.SHFE,au.SHFE,long,flat_entry,1,10,5,3.0,flat_entry,long,273.8,264.85,8.949999999999989,2.399999999999989,7.199999999999966,1,range_strictly_above_threshold,1,1,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
33,2018-10-15 00:00:00+08:00,2018-10-15,OI901.CZCE,OI.CZCE,long,flat_entry,1,10,5,3.0,flat_entry,long,6848.0,6576.0,272.0,94.4,283.20000000000005,0,range_not_above_threshold,0,4,4,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
34,2018-10-26 00:00:00+08:00,2018-10-26,CF901.CZCE,CF.CZCE,short,flat_entry,1,10,5,3.0,flat_entry,short,,,,,,0,direction_excluded,0,3,3,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
35,2018-10-26 00:00:00+08:00,2018-10-26,OI901.CZCE,OI.CZCE,short,flat_entry,1,10,5,3.0,flat_entry,short,,,,,,0,direction_excluded,0,4,4,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
36,2018-10-31 00:00:00+08:00,2018-10-31,OI901.CZCE,OI.CZCE,short,flat_entry,1,10,5,3.0,flat_entry,short,,,,,,0,direction_excluded,0,4,4,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
37,2018-10-31 00:00:00+08:00,2018-10-31,hc1901.SHFE,hc.SHFE,short,flat_entry,1,10,5,3.0,flat_entry,short,,,,,,0,direction_excluded,0,8,8,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
38,2018-11-01 00:00:00+08:00,2018-11-01,MA901.CZCE,MA.CZCE,short,flat_entry,1,10,5,3.0,flat_entry,short,,,,,,0,direction_excluded,0,6,6,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
39,2018-11-12 00:00:00+08:00,2018-11-12,rb1901.SHFE,rb.SHFE,short,flat_entry,1,10,5,3.0,flat_entry,short,,,,,,0,direction_excluded,0,3,3,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
40,2018-11-23 00:00:00+08:00,2018-11-23,CF901.CZCE,CF.CZCE,short,flat_entry,1,10,5,3.0,flat_entry,short,,,,,,0,direction_excluded,0,4,4,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
41,2018-11-26 00:00:00+08:00,2018-11-26,SM901.CZCE,SM.CZCE,short,flat_entry,1,10,5,3.0,flat_entry,short,,,,,,0,direction_excluded,0,5,5,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
42,2018-11-28 00:00:00+08:00,2018-11-28,jm1901.DCE,jm.DCE,short,flat_entry,1,10,5,3.0,flat_entry,short,,,,,,0,direction_excluded,0,2,2,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
43,2018-12-12 00:00:00+08:00,2018-12-12,jm1901.DCE,jm.DCE,long,flat_entry,1,10,5,3.0,flat_entry,long,1464.0,1319.0,145.0,32.8,98.39999999999999,1,range_strictly_above_threshold,1,2,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
44,2018-12-19 00:00:00+08:00,2018-12-19,fu1905.SHFE,fu.SHFE,short,flat_entry,1,10,5,3.0,flat_entry,short,,,,,,0,direction_excluded,0,9,9,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
