eval_date,formal_product_count,candidate_product_count,formal_top8_preserved,selection_provenance,added_products
2025-09-30,9,15,True,ai_probability_exact_top14_plus_fixed_fu,"OI.CZCE,SM.CZCE,au.SHFE,lc.GFEX,lh.DCE,ru.SHFE"
2025-10-31,9,15,True,ai_probability_exact_top14_plus_fixed_fu,"MA.CZCE,OI.CZCE,SA.CZCE,au.SHFE,cu.SHFE,si.GFEX"
2025-11-28,9,15,True,ai_probability_exact_top14_plus_fixed_fu,"MA.CZCE,OI.CZCE,SM.CZCE,au.SHFE,si.GFEX,sp.SHFE"
2025-12-31,9,15,True,ai_probability_exact_top14_plus_fixed_fu,"AP.CZCE,FG.CZCE,SM.CZCE,au.SHFE,si.GFEX,sp.SHFE"
2026-01-30,9,15,True,ai_probability_exact_top14_plus_fixed_fu,"CF.CZCE,OI.CZCE,SM.CZCE,lh.DCE,ru.SHFE,sp.SHFE"
2026-02-27,9,15,True,ai_probability_exact_top14_plus_fixed_fu,"CF.CZCE,FG.CZCE,SA.CZCE,au.SHFE,hc.SHFE,rb.SHFE"
2026-03-31,9,15,True,membership_locked_score_fill,"AP.CZCE,CF.CZCE,SM.CZCE,au.SHFE,rb.SHFE,si.GFEX"
2026-04-30,9,15,True,membership_locked_score_fill,"OI.CZCE,SM.CZCE,au.SHFE,cu.SHFE,lh.DCE,ru.SHFE"
2026-05-29,9,15,True,membership_locked_score_fill,"CF.CZCE,SM.CZCE,cu.SHFE,lh.DCE,ru.SHFE,sp.SHFE"
2026-06-30,9,15,True,ai_probability_exact_top14_plus_fixed_fu,"CF.CZCE,OI.CZCE,cu.SHFE,lc.GFEX,lh.DCE,sp.SHFE"
2026-07-31,9,15,True,ai_probability_exact_top14_plus_fixed_fu,"AP.CZCE,CF.CZCE,FG.CZCE,MA.CZCE,OI.CZCE,ru.SHFE"
