vt_symbol,row_count,min_trade_date,max_trade_date,canonical_sha256,source
lc2407.GFEX,237,2023-07-21,2024-07-12,7c01b4793d94aada1fe17f93939de99fb3528b8cd14b90bdd0cddd03cd7790f3,vnpy_local_database_exact_contract_daily
lc2509.GFEX,241,2024-09-18,2025-09-12,3c5ec512d6b8c32f1df5cd973e7fbf00edb0d6fb0a1ae2b1048022a4420ee5b7,vnpy_local_database_exact_contract_daily
lc2601.GFEX,243,2025-01-16,2026-01-16,c57c0d82b3f7e887562c820f0f8061cd09e030c7d67052f392b77090721caa15,vnpy_local_database_exact_contract_daily
lh2301.DCE,239,2022-01-26,2023-01-19,8f9d54ab126ec16cbca2e36d5f36d1e66f6ae4160ee874b08d7ac7cf57c04388,vnpy_local_database_exact_contract_daily
rb2010.SHFE,243,2019-10-16,2020-10-15,b0167635d4079f6d2ac613c23f760704135da4ec5cdcb1cfbe80931c994c9d19,vnpy_local_database_exact_contract_daily
rb2101.SHFE,243,2020-01-16,2021-01-15,ec0315ce9b0948d46fcece4aa52200bd960f4e55146880f26531f9af1c80ff24,vnpy_local_database_exact_contract_daily
rb2110.SHFE,243,2020-10-16,2021-10-15,96d4b5d3e4cc11fdfef4106f14e10bceddd77d88ed03b46bb24c551d4bd1e4f9,vnpy_local_database_exact_contract_daily
rb2210.SHFE,243,2021-10-18,2022-10-17,d0d7122a87b447f72aa69e800f20767ddb25b05c390c978d87058f0c79afa90d,vnpy_local_database_exact_contract_daily
ru2101.SHFE,243,2020-01-16,2021-01-15,4bd45dbe0cf730808a7e199c85eb2a1b1f26ee5b1f43c86688c1dd2e51bc0ca3,vnpy_local_database_exact_contract_daily
ru2105.SHFE,243,2020-05-18,2021-05-17,fb728dd2a5c946b7efd58a52b625301040f75640133d6f87ee502593fb496ce6,vnpy_local_database_exact_contract_daily
ru2501.SHFE,242,2024-01-16,2025-01-15,03ebf07686951d5432aa05007b293cbade28fcc52865322c1429f40e22a40b79,vnpy_local_database_exact_contract_daily
ru2505.SHFE,242,2024-05-16,2025-05-15,f5b7fe756c5f2ddac0d740f9e85d4c3c31e3a0e70a589bcda708574d22d03ef7,vnpy_local_database_exact_contract_daily
ru2509.SHFE,241,2024-09-19,2025-09-15,8ae52f4a27b9dc459a256f2921027d4cd8c87492937ebdec1dce60812c7f5da7,vnpy_local_database_exact_contract_daily
si2310.GFEX,199,2022-12-22,2023-10-20,5076f9596c66796faa8e120846d8b8711be7b311f94b555be4c8e12e61ec3d84,vnpy_local_database_exact_contract_daily
si2509.GFEX,241,2024-09-18,2025-09-12,b35ca40d03ba4a84dd51a2ea941bcd357388406f19ae2c9325b2916e4328c1e9,vnpy_local_database_exact_contract_daily
sp2009.SHFE,243,2019-09-17,2020-09-15,02434c314195fc0a8b5f14ab4c1bb8bc58bb433b9343f4aaa737264eb92a6e7f,vnpy_local_database_exact_contract_daily
sp2012.SHFE,242,2019-12-17,2020-12-15,e3db6562990748111981b96fdced17f8712863386907b01a46493620979357b6,vnpy_local_database_exact_contract_daily
sp2205.SHFE,241,2021-05-18,2022-05-16,6f8f17b1b27e4f17ca10b60a5690b2c52296ae85801c65f4ffff7ae408badd45,vnpy_local_database_exact_contract_daily
