trade_date,datetime,symbol,exchange,open,high,low,close,volume,open_interest
2017-09-15,2017-09-15T00:00:00+08:00,fu1804,SHFE,4505.0,4505.0,4505.0,4505.0,0.0,0.0
2017-09-18,2017-09-18T00:00:00+08:00,fu1804,SHFE,4505.0,4505.0,4505.0,4505.0,0.0,0.0
2017-09-19,2017-09-19T00:00:00+08:00,fu1804,SHFE,4505.0,4505.0,4505.0,4505.0,0.0,0.0
2017-09-20,2017-09-20T00:00:00+08:00,fu1804,SHFE,4505.0,4505.0,4505.0,4505.0,0.0,0.0
2017-09-21,2017-09-21T00:00:00+08:00,fu1804,SHFE,4505.0,4505.0,4505.0,4505.0,0.0,0.0
2017-09-22,2017-09-22T00:00:00+08:00,fu1804,SHFE,4505.0,4505.0,4505.0,4505.0,0.0,0.0
2017-09-25,2017-09-25T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-09-26,2017-09-26T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-09-27,2017-09-27T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-09-28,2017-09-28T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-09-29,2017-09-29T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-10-09,2017-10-09T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-10-10,2017-10-10T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-10-11,2017-10-11T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-10-12,2017-10-12T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-10-13,2017-10-13T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-10-16,2017-10-16T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-10-17,2017-10-17T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-10-18,2017-10-18T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-10-19,2017-10-19T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-10-20,2017-10-20T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-10-23,2017-10-23T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-10-24,2017-10-24T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-10-25,2017-10-25T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-10-26,2017-10-26T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-10-27,2017-10-27T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-10-30,2017-10-30T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-10-31,2017-10-31T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-11-01,2017-11-01T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-11-02,2017-11-02T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-11-03,2017-11-03T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-11-06,2017-11-06T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-11-07,2017-11-07T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-11-08,2017-11-08T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-11-09,2017-11-09T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-11-10,2017-11-10T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-11-13,2017-11-13T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-11-14,2017-11-14T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-11-15,2017-11-15T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-11-16,2017-11-16T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-11-17,2017-11-17T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-11-20,2017-11-20T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-11-21,2017-11-21T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-11-22,2017-11-22T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-11-23,2017-11-23T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
