diagnostic_index,date,product_vt_symbol,old_contract_vt_symbol,target_contract_vt_symbol,signal_date,elapsed_trading_days,required_trading_days,status,profile,start_month,variant,account_capital,c3_capital,experiment_arm
43,2020-08-11,FG.CZCE,FG009.CZCE,FG101.CZCE,2020-08-11,0,5,scheduled,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
44,2020-08-12,FG.CZCE,FG009.CZCE,FG101.CZCE,2020-08-11,1,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
45,2020-08-13,FG.CZCE,FG009.CZCE,FG101.CZCE,2020-08-11,2,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
46,2020-08-14,FG.CZCE,FG009.CZCE,FG101.CZCE,2020-08-11,3,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
47,2020-08-17,FG.CZCE,FG009.CZCE,FG101.CZCE,2020-08-11,4,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
48,2020-08-18,FG.CZCE,FG009.CZCE,FG101.CZCE,2020-08-11,5,5,due,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
49,2020-09-02,hc.SHFE,hc2010.SHFE,hc2101.SHFE,2020-09-02,0,5,scheduled,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
50,2020-09-03,hc.SHFE,hc2010.SHFE,hc2101.SHFE,2020-09-02,1,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
51,2020-09-04,hc.SHFE,hc2010.SHFE,hc2101.SHFE,2020-09-02,2,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
52,2020-12-02,ru.SHFE,ru2101.SHFE,ru2105.SHFE,2020-12-02,0,5,scheduled,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
53,2020-12-03,ru.SHFE,ru2101.SHFE,ru2105.SHFE,2020-12-02,1,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
54,2020-12-04,ru.SHFE,ru2101.SHFE,ru2105.SHFE,2020-12-02,2,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
