diagnostic_index,date,product_vt_symbol,old_contract_vt_symbol,target_contract_vt_symbol,signal_date,elapsed_trading_days,required_trading_days,status,profile,start_month,variant,account_capital,c3_capital,experiment_arm
29,2019-12-19,AP.CZCE,AP001.CZCE,AP005.CZCE,2019-12-17,2,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
30,2019-12-19,SM.CZCE,SM001.CZCE,SM005.CZCE,2019-12-17,2,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
31,2019-12-20,AP.CZCE,AP001.CZCE,AP005.CZCE,2019-12-17,3,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
32,2019-12-20,SM.CZCE,SM001.CZCE,SM005.CZCE,2019-12-17,3,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
33,2019-12-23,AP.CZCE,AP001.CZCE,AP005.CZCE,2019-12-17,4,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
34,2019-12-23,SM.CZCE,SM001.CZCE,SM005.CZCE,2019-12-17,4,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
35,2019-12-24,AP.CZCE,AP001.CZCE,AP005.CZCE,2019-12-17,5,5,due,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
36,2019-12-24,SM.CZCE,SM001.CZCE,SM005.CZCE,2019-12-17,5,5,due,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
37,2020-06-19,cu.SHFE,cu2007.SHFE,cu2008.SHFE,2020-06-19,0,5,scheduled,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
38,2020-06-22,cu.SHFE,cu2007.SHFE,cu2008.SHFE,2020-06-19,1,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
39,2020-06-23,cu.SHFE,cu2007.SHFE,cu2008.SHFE,2020-06-19,2,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
40,2020-06-24,cu.SHFE,cu2007.SHFE,cu2008.SHFE,2020-06-19,3,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
41,2020-06-29,cu.SHFE,cu2007.SHFE,cu2008.SHFE,2020-06-19,4,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
42,2020-06-30,cu.SHFE,cu2007.SHFE,cu2008.SHFE,2020-06-19,5,5,due,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
43,2020-08-11,FG.CZCE,FG009.CZCE,FG101.CZCE,2020-08-11,0,5,scheduled,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
44,2020-08-12,FG.CZCE,FG009.CZCE,FG101.CZCE,2020-08-11,1,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
45,2020-08-13,FG.CZCE,FG009.CZCE,FG101.CZCE,2020-08-11,2,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
46,2020-08-14,FG.CZCE,FG009.CZCE,FG101.CZCE,2020-08-11,3,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
47,2020-08-17,FG.CZCE,FG009.CZCE,FG101.CZCE,2020-08-11,4,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
48,2020-08-18,FG.CZCE,FG009.CZCE,FG101.CZCE,2020-08-11,5,5,due,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
49,2020-09-02,hc.SHFE,hc2010.SHFE,hc2101.SHFE,2020-09-02,0,5,scheduled,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
50,2020-09-03,hc.SHFE,hc2010.SHFE,hc2101.SHFE,2020-09-02,1,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
51,2020-09-04,hc.SHFE,hc2010.SHFE,hc2101.SHFE,2020-09-02,2,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
52,2020-12-02,ru.SHFE,ru2101.SHFE,ru2105.SHFE,2020-12-02,0,5,scheduled,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
53,2020-12-03,ru.SHFE,ru2101.SHFE,ru2105.SHFE,2020-12-02,1,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
54,2020-12-04,ru.SHFE,ru2101.SHFE,ru2105.SHFE,2020-12-02,2,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
55,2021-08-09,ru.SHFE,ru2109.SHFE,ru2201.SHFE,2021-08-09,0,5,scheduled,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
56,2021-08-10,ru.SHFE,ru2109.SHFE,ru2201.SHFE,2021-08-09,1,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
57,2021-08-11,ru.SHFE,ru2109.SHFE,ru2201.SHFE,2021-08-09,2,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
58,2021-08-12,ru.SHFE,ru2109.SHFE,ru2201.SHFE,2021-08-09,3,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
59,2021-08-13,ru.SHFE,ru2109.SHFE,ru2201.SHFE,2021-08-09,4,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
60,2021-08-16,ru.SHFE,ru2109.SHFE,ru2201.SHFE,2021-08-09,5,5,due,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
61,2021-11-24,ru.SHFE,ru2201.SHFE,ru2205.SHFE,2021-11-24,0,5,scheduled,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
62,2021-11-25,ru.SHFE,ru2201.SHFE,ru2205.SHFE,2021-11-24,1,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
63,2021-11-26,ru.SHFE,ru2201.SHFE,ru2205.SHFE,2021-11-24,2,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
64,2022-12-14,lh.DCE,lh2301.DCE,lh2303.DCE,2022-12-14,0,5,scheduled,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
65,2022-12-15,lh.DCE,lh2301.DCE,lh2303.DCE,2022-12-14,1,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
66,2022-12-16,lh.DCE,lh2301.DCE,lh2303.DCE,2022-12-14,2,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
67,2022-12-19,lh.DCE,lh2301.DCE,lh2303.DCE,2022-12-14,3,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
68,2022-12-20,lh.DCE,lh2301.DCE,lh2303.DCE,2022-12-14,4,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
69,2022-12-21,lh.DCE,lh2301.DCE,lh2303.DCE,2022-12-14,5,5,due,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
70,2023-07-19,SM.CZCE,SM309.CZCE,SM310.CZCE,2023-07-19,0,5,scheduled,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
71,2023-08-14,fu.SHFE,fu2309.SHFE,fu2310.SHFE,2023-08-14,0,5,scheduled,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
72,2023-08-15,fu.SHFE,fu2309.SHFE,fu2310.SHFE,2023-08-14,1,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
73,2023-08-16,fu.SHFE,fu2309.SHFE,fu2310.SHFE,2023-08-14,2,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
74,2023-08-17,fu.SHFE,fu2309.SHFE,fu2310.SHFE,2023-08-14,3,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
75,2023-08-18,fu.SHFE,fu2309.SHFE,fu2310.SHFE,2023-08-14,4,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
76,2023-08-21,fu.SHFE,fu2309.SHFE,fu2310.SHFE,2023-08-14,5,5,due,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
77,2024-08-06,lh.DCE,lh2409.DCE,lh2411.DCE,2024-08-06,0,5,scheduled,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
78,2024-08-07,lh.DCE,lh2409.DCE,lh2411.DCE,2024-08-06,1,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
79,2024-08-08,lh.DCE,lh2409.DCE,lh2411.DCE,2024-08-06,2,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
80,2024-08-09,lh.DCE,lh2409.DCE,lh2411.DCE,2024-08-06,3,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
81,2024-08-12,lh.DCE,lh2409.DCE,lh2411.DCE,2024-08-06,4,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
82,2024-08-13,lh.DCE,lh2409.DCE,lh2411.DCE,2024-08-06,5,5,due,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
83,2024-12-16,si.GFEX,si2501.GFEX,si2502.GFEX,2024-12-16,0,5,scheduled,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
84,2024-12-17,si.GFEX,si2501.GFEX,si2502.GFEX,2024-12-16,1,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
85,2024-12-18,si.GFEX,si2501.GFEX,si2502.GFEX,2024-12-16,2,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
86,2024-12-19,si.GFEX,si2501.GFEX,si2502.GFEX,2024-12-16,3,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
87,2024-12-20,si.GFEX,si2501.GFEX,si2502.GFEX,2024-12-16,4,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
88,2024-12-23,si.GFEX,si2501.GFEX,si2502.GFEX,2024-12-16,5,5,due,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
89,2025-02-13,fu.SHFE,fu2503.SHFE,fu2505.SHFE,2025-02-13,0,5,scheduled,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
90,2025-04-03,ru.SHFE,ru2505.SHFE,ru2509.SHFE,2025-04-03,0,5,scheduled,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
91,2025-04-07,ru.SHFE,ru2505.SHFE,ru2509.SHFE,2025-04-03,1,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
92,2025-04-15,AP.CZCE,AP505.CZCE,AP510.CZCE,2025-04-15,0,5,scheduled,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
93,2025-04-16,AP.CZCE,AP505.CZCE,AP510.CZCE,2025-04-15,1,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
94,2025-04-17,AP.CZCE,AP505.CZCE,AP510.CZCE,2025-04-15,2,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
95,2025-04-18,AP.CZCE,AP505.CZCE,AP510.CZCE,2025-04-15,3,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
96,2025-04-21,AP.CZCE,AP505.CZCE,AP510.CZCE,2025-04-15,4,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
97,2025-04-22,AP.CZCE,AP505.CZCE,AP510.CZCE,2025-04-15,5,5,due,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
98,2025-08-20,fu.SHFE,fu2509.SHFE,fu2510.SHFE,2025-08-20,0,5,scheduled,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
99,2025-08-21,fu.SHFE,fu2509.SHFE,fu2510.SHFE,2025-08-20,1,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
100,2025-08-22,fu.SHFE,fu2509.SHFE,fu2510.SHFE,2025-08-20,2,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
101,2026-04-17,sp.SHFE,sp2605.SHFE,sp2609.SHFE,2026-04-17,0,5,scheduled,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
102,2026-08-21,fu.SHFE,fu2609.SHFE,fu2611.SHFE,2026-08-21,0,5,scheduled,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
103,2026-08-24,fu.SHFE,fu2609.SHFE,fu2611.SHFE,2026-08-21,1,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
104,2026-08-25,fu.SHFE,fu2609.SHFE,fu2611.SHFE,2026-08-21,2,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
