date,variant,label,window_name,window_label,window_group,account_capital,account_equity,nav,drawdown_pct,broker10_margin_to_equity_pct,net_pnl,trade_count,total_slippage,source_name,rebased_equity,rebased_nav,broker10_margin_to_rebased_equity_pct,profile,oi_mode,am_label,declared_am_size,requested_start_month,start_month,arm,window_id,duration_years,requested_start,requested_end,complete_window,terminal_near_complete,promotion_arm,start_year,start_month_num,experiment_arm
2024-07-18,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6451856.400000002,43.01237600000002,-6.32916501422719,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,6451856.400000002,43.01237600000002,0.0,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-07-19,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6451856.400000002,43.01237600000002,-6.32916501422719,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,6451856.400000002,43.01237600000002,0.0,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-07-22,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6451856.400000002,43.01237600000002,-6.32916501422719,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,6451856.400000002,43.01237600000002,0.0,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-07-23,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6467216.400000002,43.11477600000001,-6.1061619068763395,14.644712986564045,15360.0,1,1920.0,stage772_am40_80_120_oi_monthly,6467216.400000002,43.11477600000001,14.644712986564045,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-07-24,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6465296.400000002,43.101976000000015,-6.134037295295192,14.645142023187056,-1920.0,0,0.0,stage772_am40_80_120_oi_monthly,6465296.400000002,43.101976000000015,14.645142023187056,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-07-25,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6428816.400000002,42.85877600000001,-6.66366967525347,14.653342409965225,-36480.0,0,0.0,stage772_am40_80_120_oi_monthly,6428816.400000002,42.85877600000001,14.653342409965225,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-07-26,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6292416.400000002,41.94944266666669,-8.643983727509708,28.008579978909204,-136400.0,1,2200.0,stage772_am40_80_120_oi_monthly,6292416.400000002,41.94944266666669,28.008579978909204,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-07-29,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6328096.400000002,42.187309333333346,-8.125966092725967,13.166006763108092,35680.0,1,1920.0,stage772_am40_80_120_oi_monthly,6328096.400000002,42.187309333333346,13.166006763108092,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-07-30,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6420496.400000002,42.803309333333345,-6.78446302506851,12.786562733685198,92400.0,0,0.0,stage772_am40_80_120_oi_monthly,6420496.400000002,42.803309333333345,12.786562733685198,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-07-31,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6347896.400000002,42.31930933333335,-7.838501149656507,13.083767403639415,-72600.0,0,0.0,stage772_am40_80_120_oi_monthly,6347896.400000002,42.31930933333335,13.083767403639415,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-08-01,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6365496.400000002,42.43664266666668,-7.582976755816995,13.011095254095183,17600.0,0,0.0,stage772_am40_80_120_oi_monthly,6365496.400000002,42.43664266666668,13.011095254095183,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-08-02,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6310496.400000002,42.06997600000002,-8.381490486565479,13.23954166268124,-55000.0,0,0.0,stage772_am40_80_120_oi_monthly,6310496.400000002,42.06997600000002,13.23954166268124,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-08-05,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6303616.400000002,42.02410933333335,-8.481377295066384,17.98860730167527,-6880.0,2,4440.0,stage772_am40_80_120_oi_monthly,6303616.400000002,42.02410933333335,17.98860730167527,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-08-06,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6245376.400000002,41.63584266666668,-9.326930743771689,18.033262494795345,-58240.0,0,0.0,stage772_am40_80_120_oi_monthly,6245376.400000002,41.63584266666668,18.033262494795345,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-08-07,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6404416.400000002,42.69610933333335,-7.017919403076434,16.795969731137404,159040.0,4,8960.0,stage772_am40_80_120_oi_monthly,6404416.400000002,42.69610933333335,16.795969731137404,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-08-08,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6431296.400000002,42.87530933333335,-6.627663965212438,16.780940153838962,26880.0,0,0.0,stage772_am40_80_120_oi_monthly,6431296.400000002,42.87530933333335,16.780940153838962,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-08-09,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6563456.400000002,43.75637600000002,-4.708908062381168,16.7088353020826,132160.0,0,0.0,stage772_am40_80_120_oi_monthly,6563456.400000002,43.75637600000002,16.7088353020826,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-08-12,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6585856.400000002,43.90570933333335,-4.383695197494508,16.696900952775096,22400.0,0,0.0,stage772_am40_80_120_oi_monthly,6585856.400000002,43.90570933333335,16.696900952775096,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
