trade_id,order_id,datetime,date,time,vt_symbol,symbol,exchange,direction,offset,price,volume,signed_volume,gateway_name,exit_reason,profile,start_month,variant,account_capital,c3_capital,experiment_arm
BACKTESTING.693,BACKTESTING.644,2023-12-13 00:00:00+08:00,2023-12-13,00:00:00,fu2401.SHFE,fu2401,SHFE,多,平,2981.0,34.0,34.0,BACKTESTING,short_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.694,BACKTESTING.645,2023-12-13 00:00:00+08:00,2023-12-13,00:00:00,rb2405.SHFE,rb2405,SHFE,多,开,4050.0,9.0,9.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.695,BACKTESTING.645.stage847_c9.1,2023-12-13 09:00:00+08:00,2023-12-13,09:00:00,rb2405.SHFE,rb2405,SHFE,空,平,4027.5,9.0,-9.0,BACKTESTING,stage847_intraday_05r_stop_no_reentry,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.696,BACKTESTING.646,2023-12-14 00:00:00+08:00,2023-12-14,00:00:00,hc2405.SHFE,hc2405,SHFE,空,平,4060.0,46.0,-46.0,BACKTESTING,long_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.697,BACKTESTING.647,2023-12-26 00:00:00+08:00,2023-12-26,00:00:00,hc2405.SHFE,hc2405,SHFE,多,开,4124.0,46.0,46.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.698,BACKTESTING.648,2023-12-27 00:00:00+08:00,2023-12-27,00:00:00,hc2405.SHFE,hc2405,SHFE,空,平,4130.0,46.0,-46.0,BACKTESTING,long_risk_cluster_heat_deleverage,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.699,BACKTESTING.649,2024-01-11 00:00:00+08:00,2024-01-11,00:00:00,AP405.CZCE,AP405,CZCE,空,开,8100.0,20.0,-20.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.700,BACKTESTING.650,2024-01-12 00:00:00+08:00,2024-01-12,00:00:00,AP405.CZCE,AP405,CZCE,多,平,8230.0,20.0,20.0,BACKTESTING,short_base_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.701,BACKTESTING.651,2024-01-12 00:00:00+08:00,2024-01-12,00:00:00,fu2403.SHFE,fu2403,SHFE,空,开,2981.0,13.0,-13.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.702,BACKTESTING.652,2024-01-19 00:00:00+08:00,2024-01-19,00:00:00,CF405.CZCE,CF405,CZCE,多,开,15855.0,6.0,6.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.703,BACKTESTING.653,2024-01-24 00:00:00+08:00,2024-01-24,00:00:00,fu2403.SHFE,fu2403,SHFE,多,平,2970.0,13.0,13.0,BACKTESTING,short_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.704,BACKTESTING.654,2024-01-26 00:00:00+08:00,2024-01-26,00:00:00,SH405.CZCE,SH405,CZCE,多,开,2781.0,18.0,18.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.705,BACKTESTING.655,2024-01-29 00:00:00+08:00,2024-01-29,00:00:00,SH405.CZCE,SH405,CZCE,空,平,2715.0,18.0,-18.0,BACKTESTING,long_base_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.706,BACKTESTING.656,2024-01-31 00:00:00+08:00,2024-01-31,00:00:00,jm2405.DCE,jm2405,DCE,空,开,1750.0,4.0,-4.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.707,BACKTESTING.657,2024-02-08 00:00:00+08:00,2024-02-08,00:00:00,MA405.CZCE,MA405,CZCE,多,开,2503.0,17.0,17.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.708,BACKTESTING.658,2024-02-19 00:00:00+08:00,2024-02-19,00:00:00,jm2405.DCE,jm2405,DCE,多,平,1726.0,4.0,4.0,BACKTESTING,short_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.709,BACKTESTING.659,2024-02-21 00:00:00+08:00,2024-02-21,00:00:00,MA405.CZCE,MA405,CZCE,空,平,2453.0,17.0,-17.0,BACKTESTING,long_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
