diagnostic_index,datetime,date,product_vt_symbol,old_contract_vt_symbol,target_contract_vt_symbol,direction,risk_mode,target_am_inited,history_mode,history_source,history_input_ready,history_input_reason,observed_bar_count,required_bar_count,target_observed_bar_count,old_contract_observed_bar_count,source_observed_bar_count,roll_adjustment_ratio,target_bar_appended,same_day_bar_ready,market_data_ready,metadata_ready,target_contract_size,target_price_tick,target_margin_ratio,bullish_alignment,bearish_alignment,macd_hist,previous_volume,selected_volume_before_exact_gate,final_volume,volume_policy,volume_outcome,was_reduced,status,reason,profile,start_month,variant,account_capital,c3_capital,experiment_arm
11,2020-12-02 00:00:00+08:00,2020-12-02,ru.SHFE,ru2101.SHFE,ru2105.SHFE,long,open_interest_decline,1,backwards_ratio_continuous,old_contract_backwards_ratio_with_target_current_bar,1,ready,41,40,41,41,41,1.0187278010978367,0,1,1,1,10,5.0,0.12,1,0,136.13762050694044,4,7,4,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,A
12,2021-08-09 00:00:00+08:00,2021-08-09,ru.SHFE,ru2109.SHFE,ru2201.SHFE,long,open_interest_decline,1,backwards_ratio_continuous,old_contract_backwards_ratio_with_target_current_bar,1,ready,41,40,41,41,41,1.0892070484581498,0,1,1,1,10,5.0,0.12,1,0,48.937705833753455,21,33,21,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,A
13,2021-11-24 00:00:00+08:00,2021-11-24,ru.SHFE,ru2201.SHFE,ru2205.SHFE,long,regular,1,backwards_ratio_continuous,old_contract_backwards_ratio_with_target_current_bar,1,ready,41,40,41,41,41,1.0138978668390433,0,1,1,1,10,5.0,0.12,1,0,226.39220647441408,51,27,27,shrink_to_allowed,reduced,1,targeted,reduced_to_allowed_volume,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,A
14,2022-03-31 00:00:00+08:00,2022-03-31,hc.SHFE,hc2205.SHFE,hc2210.SHFE,long,regular,1,backwards_ratio_continuous,old_contract_backwards_ratio_with_target_current_bar,1,ready,41,40,41,41,41,0.9931480776551199,0,1,1,1,10,1.0,0.1,1,0,15.489180659437963,90,101,90,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,A
15,2022-12-14 00:00:00+08:00,2022-12-14,lh.DCE,lh2301.DCE,lh2303.DCE,short,regular,1,backwards_ratio_continuous,old_contract_backwards_ratio_with_target_current_bar,1,ready,41,40,41,41,41,0.923572228443449,0,1,1,1,16,5.0,0.12,0,1,-488.64639426456324,13,44,13,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,A
16,2023-07-19 00:00:00+08:00,2023-07-19,SM.CZCE,SM309.CZCE,SM310.CZCE,long,regular,1,backwards_ratio_continuous,old_contract_backwards_ratio_with_target_current_bar,1,ready,41,40,41,41,41,0.9928656361474435,0,1,1,1,5,2.0,0.12,1,0,22.438603413902673,294,307,294,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,A
17,2024-08-06 00:00:00+08:00,2024-08-06,lh.DCE,lh2409.DCE,lh2411.DCE,long,open_interest_decline,1,backwards_ratio_continuous,old_contract_backwards_ratio_with_target_current_bar,1,ready,41,40,41,41,41,0.9372538724074561,0,1,1,1,16,5.0,0.12,1,0,115.88200635348812,30,66,30,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,A
18,2024-12-16 00:00:00+08:00,2024-12-16,si.GFEX,si2501.GFEX,si2502.GFEX,short,regular,1,backwards_ratio_continuous,old_contract_backwards_ratio_with_target_current_bar,1,ready,41,40,41,41,41,1.0025784271594327,0,1,1,1,5,5.0,0.12,0,1,-67.41377528767543,400,431,400,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,A
19,2025-02-13 00:00:00+08:00,2025-02-13,fu.SHFE,fu2503.SHFE,fu2505.SHFE,long,regular,1,backwards_ratio_continuous,old_contract_backwards_ratio_with_target_current_bar,1,ready,41,40,41,41,41,0.9156883671291356,0,1,1,1,10,1.0,0.15,1,0,7.0484311406795825,500,0,0,shrink_to_allowed,skipped,0,skipped,no_positive_volume_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,A
20,2025-04-03 00:00:00+08:00,2025-04-03,ru.SHFE,ru2505.SHFE,ru2509.SHFE,short,regular,1,backwards_ratio_continuous,old_contract_backwards_ratio_with_target_current_bar,1,ready,41,40,41,41,41,1.008666047663262,0,1,1,1,10,5.0,0.12,0,1,-119.21539601802994,62,92,62,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,A
21,2025-04-15 00:00:00+08:00,2025-04-15,AP.CZCE,AP505.CZCE,AP510.CZCE,long,volume_open_interest_surge,1,backwards_ratio_continuous,old_contract_backwards_ratio_with_target_current_bar,1,ready,41,40,41,41,41,0.9813285913882891,0,1,1,1,10,1.0,0.12,1,0,22.45416701542979,298,356,298,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,A
22,2025-08-20 00:00:00+08:00,2025-08-20,fu.SHFE,fu2509.SHFE,fu2510.SHFE,short,regular,1,backwards_ratio_continuous,old_contract_backwards_ratio_with_target_current_bar,1,ready,41,40,41,41,41,1.0115370301451432,0,1,1,1,10,1.0,0.15,0,1,-22.395144696348268,500,500,500,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,A
23,2026-04-17 00:00:00+08:00,2026-04-17,sp.SHFE,sp2605.SHFE,sp2609.SHFE,short,open_interest_decline,1,backwards_ratio_continuous,old_contract_backwards_ratio_with_target_current_bar,1,ready,41,40,41,41,41,1.0139386698526482,0,1,1,1,10,2.0,0.1,0,1,-11.36614630909746,257,500,257,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,A
24,2026-08-21 00:00:00+08:00,2026-08-21,fu.SHFE,fu2609.SHFE,fu2611.SHFE,long,regular,1,backwards_ratio_continuous,old_contract_backwards_ratio_with_target_current_bar,1,ready,41,40,41,41,41,0.8843146274149034,0,1,1,1,10,1.0,0.15,1,0,114.40913128381396,158,500,158,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,A
1,2018-08-16 00:00:00+08:00,2018-08-16,SM.CZCE,SM809.CZCE,SM901.CZCE,long,open_interest_decline,0,target_contract_only,target_contract_observed,1,ready,1,40,1,41,1,1.0,0,1,1,1,5,2.0,0.12,0,0,,7,0,0,shrink_to_allowed,skipped,0,skipped,insufficient_indicator_history,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
2,2018-12-13 00:00:00+08:00,2018-12-13,jm.DCE,jm1901.DCE,jm1905.DCE,long,open_interest_decline,0,target_contract_only,target_contract_observed,1,ready,1,40,1,41,1,1.0,0,1,1,1,60,0.5,0.2,0,0,,2,0,0,shrink_to_allowed,skipped,0,skipped,insufficient_indicator_history,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
3,2019-04-04 00:00:00+08:00,2019-04-04,hc.SHFE,hc1905.SHFE,hc1910.SHFE,long,regular,0,target_contract_only,target_contract_observed,1,ready,1,40,1,41,1,1.0,0,1,1,1,10,1.0,0.1,0,0,,3,0,0,shrink_to_allowed,skipped,0,skipped,insufficient_indicator_history,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
4,2019-04-12 00:00:00+08:00,2019-04-12,AP.CZCE,AP905.CZCE,AP910.CZCE,long,regular,0,target_contract_only,target_contract_observed,1,ready,1,40,1,41,1,1.0,0,1,1,1,10,1.0,0.12,0,0,,1,0,0,shrink_to_allowed,skipped,0,skipped,insufficient_indicator_history,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
5,2019-08-09 00:00:00+08:00,2019-08-09,CF.CZCE,CF909.CZCE,CF001.CZCE,short,regular,0,target_contract_only,target_contract_observed,1,ready,1,40,1,41,1,1.0,0,1,1,1,5,5.0,0.12,0,0,,5,0,0,shrink_to_allowed,skipped,0,skipped,insufficient_indicator_history,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
6,2019-12-17 00:00:00+08:00,2019-12-17,AP.CZCE,AP001.CZCE,AP005.CZCE,long,regular,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,10,1.0,0.12,0,0,71.74592647383166,5,0,0,shrink_to_allowed,skipped,0,skipped,shape_or_macd_not_aligned,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
7,2019-12-17 00:00:00+08:00,2019-12-17,SM.CZCE,SM001.CZCE,SM005.CZCE,long,open_interest_decline,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,5,2.0,0.12,1,0,56.885785279226596,5,16,5,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
8,2020-06-19 00:00:00+08:00,2020-06-19,cu.SHFE,cu2007.SHFE,cu2008.SHFE,long,regular,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,5,10.0,0.12,1,0,210.11773265362876,1,2,1,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
9,2020-08-11 00:00:00+08:00,2020-08-11,FG.CZCE,FG009.CZCE,FG101.CZCE,long,regular,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,20,1.0,0.12,1,0,29.212703436976824,15,34,15,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
10,2020-09-02 00:00:00+08:00,2020-09-02,hc.SHFE,hc2010.SHFE,hc2101.SHFE,long,regular,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,10,1.0,0.1,1,0,9.148597363855203,29,46,29,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
11,2020-12-02 00:00:00+08:00,2020-12-02,ru.SHFE,ru2101.SHFE,ru2105.SHFE,long,open_interest_decline,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,10,5.0,0.12,1,0,179.6005390961443,4,7,4,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
12,2021-08-09 00:00:00+08:00,2021-08-09,ru.SHFE,ru2109.SHFE,ru2201.SHFE,long,open_interest_decline,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,10,5.0,0.12,1,0,85.31153966207023,22,33,22,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
13,2021-11-24 00:00:00+08:00,2021-11-24,ru.SHFE,ru2201.SHFE,ru2205.SHFE,long,regular,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,10,5.0,0.12,1,0,220.68295747471103,37,55,37,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
14,2022-03-31 00:00:00+08:00,2022-03-31,hc.SHFE,hc2205.SHFE,hc2210.SHFE,long,regular,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,10,1.0,0.1,1,0,34.51180777802119,89,99,89,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
15,2022-12-14 00:00:00+08:00,2022-12-14,lh.DCE,lh2301.DCE,lh2303.DCE,short,regular,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,16,5.0,0.12,0,1,-369.21579153553637,13,43,13,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
16,2023-07-19 00:00:00+08:00,2023-07-19,SM.CZCE,SM309.CZCE,SM310.CZCE,long,regular,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,5,2.0,0.12,1,0,34.546039586144516,285,172,172,shrink_to_allowed,reduced,1,targeted,reduced_to_allowed_volume,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
17,2024-08-06 00:00:00+08:00,2024-08-06,lh.DCE,lh2409.DCE,lh2411.DCE,long,open_interest_decline,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,16,5.0,0.12,0,0,52.13836515962924,29,0,0,shrink_to_allowed,skipped,0,skipped,shape_or_macd_not_aligned,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
18,2024-12-16 00:00:00+08:00,2024-12-16,si.GFEX,si2501.GFEX,si2502.GFEX,short,regular,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,5,5.0,0.12,0,1,-67.22506683433835,363,391,363,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
19,2025-02-13 00:00:00+08:00,2025-02-13,fu.SHFE,fu2503.SHFE,fu2505.SHFE,long,regular,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,10,1.0,0.15,1,0,-17.311000092518583,461,0,0,shrink_to_allowed,skipped,0,skipped,shape_or_macd_not_aligned,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
20,2025-04-03 00:00:00+08:00,2025-04-03,ru.SHFE,ru2505.SHFE,ru2509.SHFE,short,regular,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,10,5.0,0.12,0,1,-133.44494090528246,57,84,57,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
21,2025-04-15 00:00:00+08:00,2025-04-15,AP.CZCE,AP505.CZCE,AP510.CZCE,long,volume_open_interest_surge,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,10,1.0,0.12,0,0,44.21849205062072,272,0,0,shrink_to_allowed,skipped,0,skipped,shape_or_macd_not_aligned,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
22,2025-08-20 00:00:00+08:00,2025-08-20,fu.SHFE,fu2509.SHFE,fu2510.SHFE,short,regular,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,10,1.0,0.15,0,1,-23.52667459144726,500,500,500,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
23,2026-04-17 00:00:00+08:00,2026-04-17,sp.SHFE,sp2605.SHFE,sp2609.SHFE,short,open_interest_decline,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,10,2.0,0.1,0,1,-19.68422783606634,251,500,251,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
24,2026-08-21 00:00:00+08:00,2026-08-21,fu.SHFE,fu2609.SHFE,fu2611.SHFE,long,regular,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,10,1.0,0.15,1,0,70.56237052073084,155,417,155,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
1,2018-08-23 00:00:00+08:00,2018-08-23,SM.CZCE,SM809.CZCE,SM901.CZCE,long,open_interest_decline,0,target_contract_only,target_contract_observed,1,ready,6,40,6,41,6,1.0,0,1,1,1,5,2.0,0.12,0,0,,7,0,0,shrink_to_allowed,skipped,0,skipped,insufficient_indicator_history,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
2,2018-12-20 00:00:00+08:00,2018-12-20,jm.DCE,jm1901.DCE,jm1905.DCE,long,open_interest_decline,0,target_contract_only,target_contract_observed,1,ready,6,40,6,41,6,1.0,0,1,1,1,60,0.5,0.2,0,0,,2,0,0,shrink_to_allowed,skipped,0,skipped,insufficient_indicator_history,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
3,2019-04-12 00:00:00+08:00,2019-04-12,hc.SHFE,hc1905.SHFE,hc1910.SHFE,long,regular,0,target_contract_only,target_contract_observed,1,ready,6,40,6,41,6,1.0,0,1,1,1,10,1.0,0.1,0,0,,3,0,0,shrink_to_allowed,skipped,0,skipped,insufficient_indicator_history,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
4,2019-04-19 00:00:00+08:00,2019-04-19,AP.CZCE,AP905.CZCE,AP910.CZCE,long,regular,0,target_contract_only,target_contract_observed,1,ready,6,40,6,41,6,1.0,0,1,1,1,10,1.0,0.12,0,0,,1,0,0,shrink_to_allowed,skipped,0,skipped,insufficient_indicator_history,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
5,2019-08-16 00:00:00+08:00,2019-08-16,CF.CZCE,CF909.CZCE,CF001.CZCE,short,regular,0,target_contract_only,target_contract_observed,1,ready,6,40,6,41,6,1.0,0,1,1,1,5,5.0,0.12,0,0,,5,0,0,shrink_to_allowed,skipped,0,skipped,insufficient_indicator_history,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
6,2019-12-24 00:00:00+08:00,2019-12-24,AP.CZCE,AP001.CZCE,AP005.CZCE,long,regular,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,10,1.0,0.12,0,0,-15.950468014362798,5,0,0,shrink_to_allowed,skipped,0,skipped,shape_or_macd_not_aligned,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
7,2019-12-24 00:00:00+08:00,2019-12-24,SM.CZCE,SM001.CZCE,SM005.CZCE,long,open_interest_decline,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,5,2.0,0.12,1,0,46.36797558538163,5,16,5,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
8,2020-06-30 00:00:00+08:00,2020-06-30,cu.SHFE,cu2007.SHFE,cu2008.SHFE,long,regular,1,target_contract_only,target_contract_observed,1,ready,41,40,41,41,41,1.0,0,1,1,1,5,10.0,0.12,1,0,256.10012700653215,1,3,1,shrink_to_allowed,full,0,targeted,previous_volume_fully_allowed,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
