trade_id,order_id,datetime,date,time,vt_symbol,symbol,exchange,direction,offset,price,volume,signed_volume,gateway_name,exit_reason,profile,start_month,variant,account_capital,c3_capital,experiment_arm
BACKTESTING.480,BACKTESTING.412,2022-05-13 00:00:00+08:00,2022-05-13,00:00:00,MA209.CZCE,MA209,CZCE,空,开,2716.0,285.0,-285.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.481,BACKTESTING.413,2022-05-16 00:00:00+08:00,2022-05-16,00:00:00,MA209.CZCE,MA209,CZCE,多,平,2785.0,285.0,285.0,BACKTESTING,short_base_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.482,BACKTESTING.414,2022-05-24 00:00:00+08:00,2022-05-24,00:00:00,FG209.CZCE,FG209,CZCE,空,开,1770.0,157.0,-157.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.483,BACKTESTING.415,2022-05-25 00:00:00+08:00,2022-05-25,00:00:00,jm2209.DCE,jm2209,DCE,空,开,2499.0,22.0,-22.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.484,BACKTESTING.416,2022-05-27 00:00:00+08:00,2022-05-27,00:00:00,fu2209.SHFE,fu2209,SHFE,多,开,4286.0,61.0,61.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.485,BACKTESTING.417,2022-05-30 00:00:00+08:00,2022-05-30,00:00:00,jm2209.DCE,jm2209,DCE,多,平,2570.0,22.0,22.0,BACKTESTING,short_prev2day_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.486,BACKTESTING.418,2022-05-31 00:00:00+08:00,2022-05-31,00:00:00,fu2209.SHFE,fu2209,SHFE,空,平,4082.0,61.0,-61.0,BACKTESTING,long_prev2day_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.487,BACKTESTING.419,2022-06-02 00:00:00+08:00,2022-06-02,00:00:00,FG209.CZCE,FG209,CZCE,多,平,1780.0,157.0,157.0,BACKTESTING,short_prev2day_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.488,BACKTESTING.420,2022-06-13 00:00:00+08:00,2022-06-13,00:00:00,MA209.CZCE,MA209,CZCE,多,开,2916.0,233.0,233.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.489,BACKTESTING.421,2022-06-14 00:00:00+08:00,2022-06-14,00:00:00,MA209.CZCE,MA209,CZCE,空,平,2944.0,233.0,-233.0,BACKTESTING,long_risk_cluster_heat_deleverage,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.490,BACKTESTING.422,2022-06-22 00:00:00+08:00,2022-06-22,00:00:00,fu2209.SHFE,fu2209,SHFE,空,开,3922.0,144.0,-144.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.491,BACKTESTING.423,2022-06-29 00:00:00+08:00,2022-06-29,00:00:00,fu2209.SHFE,fu2209,SHFE,多,平,3928.0,144.0,144.0,BACKTESTING,short_prev2day_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.492,BACKTESTING.424,2022-07-06 00:00:00+08:00,2022-07-06,00:00:00,fu2209.SHFE,fu2209,SHFE,空,开,3470.0,84.0,-84.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.493,BACKTESTING.425,2022-07-06 00:00:00+08:00,2022-07-06,00:00:00,jm2209.DCE,jm2209,DCE,空,开,2230.0,21.0,-21.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
