trade_date,datetime,symbol,exchange,open,high,low,close,volume,open_interest
2026-01-26,2026-01-26T00:00:00+08:00,y2605,DCE,8124.0,8234.0,8114.0,8226.0,364906.0,765235.0
2026-01-27,2026-01-27T00:00:00+08:00,y2605,DCE,8222.0,8274.0,8158.0,8258.0,384372.0,810901.0
2026-01-28,2026-01-28T00:00:00+08:00,y2605,DCE,8272.0,8344.0,8266.0,8326.0,334458.0,816319.0
2026-01-29,2026-01-29T00:00:00+08:00,y2605,DCE,8346.0,8398.0,8312.0,8382.0,297714.0,824789.0
2026-01-30,2026-01-30T00:00:00+08:00,y2605,DCE,8390.0,8410.0,8224.0,8282.0,389740.0,839796.0
2026-02-02,2026-02-02T00:00:00+08:00,y2605,DCE,8278.0,8326.0,8052.0,8092.0,459873.0,823062.0
2026-02-03,2026-02-03T00:00:00+08:00,y2605,DCE,8090.0,8148.0,8082.0,8086.0,249073.0,755956.0
2026-02-04,2026-02-04T00:00:00+08:00,y2605,DCE,8150.0,8174.0,8112.0,8140.0,239979.0,724478.0
2026-02-05,2026-02-05T00:00:00+08:00,y2605,DCE,8140.0,8198.0,8096.0,8104.0,303624.0,714532.0
2026-02-06,2026-02-06T00:00:00+08:00,y2605,DCE,8090.0,8136.0,8078.0,8102.0,163630.0,701522.0
2026-02-09,2026-02-09T00:00:00+08:00,y2605,DCE,8102.0,8154.0,8092.0,8114.0,192708.0,686836.0
2026-02-10,2026-02-10T00:00:00+08:00,y2605,DCE,8134.0,8146.0,8086.0,8098.0,216231.0,678475.0
2026-02-11,2026-02-11T00:00:00+08:00,y2605,DCE,8096.0,8122.0,8072.0,8110.0,191275.0,670976.0
2026-02-12,2026-02-12T00:00:00+08:00,y2605,DCE,8136.0,8140.0,8080.0,8082.0,209635.0,663315.0
2026-02-13,2026-02-13T00:00:00+08:00,y2605,DCE,8072.0,8118.0,8010.0,8054.0,231582.0,651133.0
2026-02-24,2026-02-24T00:00:00+08:00,y2605,DCE,8130.0,8176.0,8110.0,8140.0,188039.0,625533.0
2026-02-25,2026-02-25T00:00:00+08:00,y2605,DCE,8136.0,8256.0,8124.0,8228.0,282357.0,630648.0
2026-02-26,2026-02-26T00:00:00+08:00,y2605,DCE,8220.0,8246.0,8176.0,8198.0,243734.0,664427.0
2026-02-27,2026-02-27T00:00:00+08:00,y2605,DCE,8206.0,8266.0,8198.0,8226.0,242046.0,659168.0
2026-03-02,2026-03-02T00:00:00+08:00,y2605,DCE,8246.0,8304.0,8208.0,8260.0,328276.0,666610.0
2026-03-03,2026-03-03T00:00:00+08:00,y2605,DCE,8280.0,8400.0,8270.0,8350.0,375074.0,656400.0
2026-03-04,2026-03-04T00:00:00+08:00,y2605,DCE,8370.0,8422.0,8322.0,8370.0,291264.0,657129.0
2026-03-05,2026-03-05T00:00:00+08:00,y2605,DCE,8360.0,8404.0,8292.0,8370.0,275271.0,658889.0
2026-03-06,2026-03-06T00:00:00+08:00,y2605,DCE,8360.0,8448.0,8354.0,8412.0,350299.0,659855.0
2026-03-09,2026-03-09T00:00:00+08:00,y2605,DCE,8500.0,8910.0,8466.0,8672.0,936143.0,668943.0
2026-03-10,2026-03-10T00:00:00+08:00,y2605,DCE,8654.0,8676.0,8388.0,8444.0,504504.0,656575.0
2026-03-11,2026-03-11T00:00:00+08:00,y2605,DCE,8484.0,8602.0,8432.0,8570.0,396105.0,611399.0
2026-03-12,2026-03-12T00:00:00+08:00,y2605,DCE,8670.0,8708.0,8572.0,8632.0,396192.0,617170.0
2026-03-13,2026-03-13T00:00:00+08:00,y2605,DCE,8650.0,8790.0,8628.0,8690.0,360145.0,618982.0
2026-03-16,2026-03-16T00:00:00+08:00,y2605,DCE,8660.0,8758.0,8646.0,8716.0,364146.0,626137.0
2026-03-17,2026-03-17T00:00:00+08:00,y2605,DCE,8652.0,8686.0,8570.0,8644.0,310196.0,627140.0
2026-03-18,2026-03-18T00:00:00+08:00,y2605,DCE,8690.0,8692.0,8534.0,8540.0,280668.0,604521.0
2026-03-19,2026-03-19T00:00:00+08:00,y2605,DCE,8606.0,8678.0,8588.0,8616.0,251021.0,584784.0
2026-03-20,2026-03-20T00:00:00+08:00,y2605,DCE,8618.0,8656.0,8550.0,8628.0,225724.0,594494.0
2026-03-23,2026-03-23T00:00:00+08:00,y2605,DCE,8646.0,8756.0,8608.0,8740.0,270684.0,594096.0
2026-03-24,2026-03-24T00:00:00+08:00,y2605,DCE,8632.0,8680.0,8544.0,8594.0,296544.0,612272.0
2026-03-25,2026-03-25T00:00:00+08:00,y2605,DCE,8632.0,8634.0,8510.0,8550.0,210840.0,579282.0
2026-03-26,2026-03-26T00:00:00+08:00,y2605,DCE,8556.0,8648.0,8540.0,8646.0,185973.0,554748.0
2026-03-27,2026-03-27T00:00:00+08:00,y2605,DCE,8672.0,8704.0,8606.0,8688.0,201453.0,545392.0
2026-03-30,2026-03-30T00:00:00+08:00,y2605,DCE,8746.0,8770.0,8614.0,8714.0,298200.0,537668.0
2026-03-31,2026-03-31T00:00:00+08:00,y2605,DCE,8712.0,8782.0,8644.0,8668.0,272706.0,498900.0
2026-04-01,2026-04-01T00:00:00+08:00,y2605,DCE,8724.0,8818.0,8616.0,8624.0,367271.0,464075.0
2026-04-02,2026-04-02T00:00:00+08:00,y2605,DCE,8640.0,8724.0,8582.0,8686.0,246905.0,422459.0
2026-04-03,2026-04-03T00:00:00+08:00,y2605,DCE,8720.0,8740.0,8648.0,8694.0,174326.0,391632.0
2026-04-07,2026-04-07T00:00:00+08:00,y2605,DCE,8704.0,8774.0,8684.0,8750.0,133541.0,353398.0
2026-04-08,2026-04-08T00:00:00+08:00,y2605,DCE,8722.0,8762.0,8470.0,8482.0,184699.0,317398.0
2026-04-09,2026-04-09T00:00:00+08:00,y2605,DCE,8480.0,8526.0,8438.0,8508.0,82310.0,263160.0
2026-04-10,2026-04-10T00:00:00+08:00,y2605,DCE,8530.0,8564.0,8512.0,8515.0,62323.0,242308.0
2026-04-13,2026-04-13T00:00:00+08:00,y2605,DCE,8494.0,8558.0,8473.0,8505.0,55200.0,226085.0
