tq_symbol,exchange,symbol,status,rows,file_path,message,updated_at
CFFEX.IC2205,CFFEX,IC2205,downloaded,40,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2205.csv,,2026-04-22T13:31:41
CFFEX.IC2206,CFFEX,IC2206,downloaded,163,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2206.csv,,2026-04-22T13:31:42
CFFEX.IC2207,CFFEX,IC2207,downloaded,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2207.csv,,2026-04-22T13:31:42
CFFEX.IC2208,CFFEX,IC2208,downloaded,45,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2208.csv,,2026-04-22T13:31:42
CFFEX.IC2209,CFFEX,IC2209,downloaded,158,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2209.csv,,2026-04-22T13:31:42
CFFEX.IC2210,CFFEX,IC2210,downloaded,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2210.csv,,2026-04-22T13:31:42
CFFEX.IC2211,CFFEX,IC2211,downloaded,40,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2211.csv,,2026-04-22T13:31:43
CFFEX.IC2212,CFFEX,IC2212,downloaded,165,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2212.csv,,2026-04-22T13:31:43
CFFEX.IC2301,CFFEX,IC2301,downloaded,44,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2301.csv,,2026-04-22T13:31:43
CFFEX.IC2302,CFFEX,IC2302,downloaded,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2302.csv,,2026-04-22T13:31:43
