tq_symbol,exchange,symbol,status,rows,file_path,message,updated_at
CFFEX.IC2306,CFFEX,IC2306,imported,160,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2306.csv,,2026-04-22T13:55:34
CFFEX.IC2307,CFFEX,IC2307,imported,43,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2307.csv,,2026-04-22T13:55:34
CFFEX.IC2308,CFFEX,IC2308,imported,43,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2308.csv,,2026-04-22T13:55:34
CFFEX.IC2309,CFFEX,IC2309,imported,159,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2309.csv,,2026-04-22T13:55:34
CFFEX.IC2310,CFFEX,IC2310,imported,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2310.csv,,2026-04-22T13:55:34
CFFEX.IC2311,CFFEX,IC2311,imported,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2311.csv,,2026-04-22T13:55:34
CFFEX.IC2312,CFFEX,IC2312,imported,159,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2312.csv,,2026-04-22T13:55:34
CFFEX.IC2401,CFFEX,IC2401,imported,44,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2401.csv,,2026-04-22T13:55:34
CFFEX.IC2402,CFFEX,IC2402,imported,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2402.csv,,2026-04-22T13:55:34
CFFEX.IC2403,CFFEX,IC2403,imported,157,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2403.csv,,2026-04-22T13:55:34
CFFEX.IC2404,CFFEX,IC2404,imported,42,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2404.csv,,2026-04-22T13:55:34
CFFEX.IC2405,CFFEX,IC2405,imported,40,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2405.csv,,2026-04-22T13:55:34
CFFEX.IC2406,CFFEX,IC2406,imported,162,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2406.csv,,2026-04-22T13:55:34
CFFEX.IC2407,CFFEX,IC2407,imported,44,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2407.csv,,2026-04-22T13:55:34
CFFEX.IC2408,CFFEX,IC2408,imported,40,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2408.csv,,2026-04-22T13:55:34
CFFEX.IC2409,CFFEX,IC2409,imported,161,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2409.csv,,2026-04-22T13:55:34
CFFEX.IC2410,CFFEX,IC2410,imported,38,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2410.csv,,2026-04-22T13:55:34
CFFEX.IC2411,CFFEX,IC2411,imported,35,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2411.csv,,2026-04-22T13:55:34
CFFEX.IC2412,CFFEX,IC2412,imported,164,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2412.csv,,2026-04-22T13:55:34
CFFEX.IC2501,CFFEX,IC2501,imported,44,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2501.csv,,2026-04-22T13:55:34
CFFEX.IC2502,CFFEX,IC2502,imported,38,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2502.csv,,2026-04-22T13:55:34
CFFEX.IC2503,CFFEX,IC2503,imported,161,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2503.csv,,2026-04-22T13:55:34
CFFEX.IC2504,CFFEX,IC2504,imported,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2504.csv,,2026-04-22T13:55:34
CFFEX.IC2505,CFFEX,IC2505,imported,36,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2505.csv,,2026-04-22T13:55:34
CFFEX.IC2506,CFFEX,IC2506,imported,163,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2506.csv,,2026-04-22T13:55:34
CFFEX.IC2507,CFFEX,IC2507,imported,44,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2507.csv,,2026-04-22T13:55:34
CFFEX.IC2508,CFFEX,IC2508,imported,40,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2508.csv,,2026-04-22T13:55:34
CFFEX.IC2509,CFFEX,IC2509,imported,164,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2509.csv,,2026-04-22T13:55:34
CFFEX.IC2510,CFFEX,IC2510,imported,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2510.csv,,2026-04-22T13:55:34
CFFEX.IC2511,CFFEX,IC2511,imported,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2511.csv,,2026-04-22T13:55:34
CFFEX.IC2512,CFFEX,IC2512,imported,165,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2512.csv,,2026-04-22T13:55:34
CFFEX.IC2601,CFFEX,IC2601,imported,38,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2601.csv,,2026-04-22T13:55:34
CFFEX.IC2602,CFFEX,IC2602,imported,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2602.csv,,2026-04-22T13:55:34
CFFEX.IC2603,CFFEX,IC2603,imported,161,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2603.csv,,2026-04-22T13:55:34
CFFEX.IC2604,CFFEX,IC2604,imported,37,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2604.csv,,2026-04-22T13:55:34
CFFEX.IF2009,CFFEX,IF2009,imported,163,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2009.csv,,2026-04-22T13:55:34
CFFEX.IF2010,CFFEX,IF2010,imported,34,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2010.csv,,2026-04-22T13:55:34
CFFEX.IF2011,CFFEX,IF2011,imported,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2011.csv,,2026-04-22T13:55:34
CFFEX.IF2012,CFFEX,IF2012,imported,164,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2012.csv,,2026-04-22T13:55:34
CFFEX.IF2101,CFFEX,IF2101,imported,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2101.csv,,2026-04-22T13:55:34
CFFEX.IF2102,CFFEX,IF2102,imported,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2102.csv,,2026-04-22T13:55:34
CFFEX.IF2103,CFFEX,IF2103,imported,163,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2103.csv,,2026-04-22T13:55:34
CFFEX.IF2104,CFFEX,IF2104,imported,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2104.csv,,2026-04-22T13:55:34
CFFEX.IF2105,CFFEX,IF2105,imported,41,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2105.csv,,2026-04-22T13:55:34
CFFEX.IF2106,CFFEX,IF2106,imported,164,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2106.csv,,2026-04-22T13:55:34
CFFEX.IF2107,CFFEX,IF2107,imported,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2107.csv,,2026-04-22T13:55:34
CFFEX.IF2108,CFFEX,IF2108,imported,45,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2108.csv,,2026-04-22T13:55:34
CFFEX.IF2109,CFFEX,IF2109,imported,165,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2109.csv,,2026-04-22T13:55:34
CFFEX.IF2110,CFFEX,IF2110,imported,33,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2110.csv,,2026-04-22T13:55:34
CFFEX.IF2111,CFFEX,IF2111,imported,38,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2111.csv,,2026-04-22T13:55:34
CFFEX.IF2112,CFFEX,IF2112,imported,164,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2112.csv,,2026-04-22T13:55:34
CFFEX.IF2201,CFFEX,IF2201,imported,44,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2201.csv,,2026-04-22T13:55:34
CFFEX.IF2202,CFFEX,IF2202,imported,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2202.csv,,2026-04-22T13:55:34
CFFEX.IF2203,CFFEX,IF2203,imported,162,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2203.csv,,2026-04-22T13:55:34
CFFEX.IF2204,CFFEX,IF2204,imported,38,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2204.csv,,2026-04-22T13:55:34
CFFEX.IF2205,CFFEX,IF2205,imported,40,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2205.csv,,2026-04-22T13:55:34
CFFEX.IF2206,CFFEX,IF2206,imported,163,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2206.csv,,2026-04-22T13:55:34
CFFEX.IF2207,CFFEX,IF2207,imported,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2207.csv,,2026-04-22T13:55:34
CFFEX.IF2208,CFFEX,IF2208,imported,45,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2208.csv,,2026-04-22T13:55:34
CFFEX.IF2209,CFFEX,IF2209,imported,158,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2209.csv,,2026-04-22T13:55:34
CFFEX.IF2210,CFFEX,IF2210,imported,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2210.csv,,2026-04-22T13:55:34
CFFEX.IF2211,CFFEX,IF2211,imported,40,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2211.csv,,2026-04-22T13:55:34
CFFEX.IF2212,CFFEX,IF2212,imported,165,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2212.csv,,2026-04-22T13:55:34
CFFEX.IF2301,CFFEX,IF2301,imported,44,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2301.csv,,2026-04-22T13:55:34
CFFEX.IF2302,CFFEX,IF2302,imported,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2302.csv,,2026-04-22T13:55:34
CFFEX.IF2303,CFFEX,IF2303,imported,163,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2303.csv,,2026-04-22T13:55:34
CFFEX.IF2304,CFFEX,IF2304,imported,44,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2304.csv,,2026-04-22T13:55:34
CFFEX.IF2305,CFFEX,IF2305,imported,41,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2305.csv,,2026-04-22T13:55:34
CFFEX.IF2306,CFFEX,IF2306,imported,160,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2306.csv,,2026-04-22T13:55:34
CFFEX.IF2307,CFFEX,IF2307,imported,43,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2307.csv,,2026-04-22T13:55:34
CFFEX.IF2308,CFFEX,IF2308,imported,43,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2308.csv,,2026-04-22T13:55:34
CFFEX.IF2309,CFFEX,IF2309,imported,159,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2309.csv,,2026-04-22T13:55:34
CFFEX.IF2310,CFFEX,IF2310,imported,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2310.csv,,2026-04-22T13:55:34
CFFEX.IF2311,CFFEX,IF2311,imported,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2311.csv,,2026-04-22T13:55:34
CFFEX.IF2312,CFFEX,IF2312,imported,159,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2312.csv,,2026-04-22T13:55:34
CFFEX.IF2401,CFFEX,IF2401,imported,44,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2401.csv,,2026-04-22T13:55:34
CFFEX.IF2402,CFFEX,IF2402,imported,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2402.csv,,2026-04-22T13:55:34
CFFEX.IF2403,CFFEX,IF2403,imported,157,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2403.csv,,2026-04-22T13:55:34
CFFEX.IF2404,CFFEX,IF2404,imported,42,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2404.csv,,2026-04-22T13:55:34
CFFEX.IF2405,CFFEX,IF2405,imported,40,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2405.csv,,2026-04-22T13:55:34
CFFEX.IF2406,CFFEX,IF2406,imported,162,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2406.csv,,2026-04-22T13:55:34
CFFEX.IF2407,CFFEX,IF2407,imported,44,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2407.csv,,2026-04-22T13:55:34
CFFEX.IF2408,CFFEX,IF2408,imported,40,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2408.csv,,2026-04-22T13:55:34
CFFEX.IF2409,CFFEX,IF2409,imported,161,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2409.csv,,2026-04-22T13:55:34
CFFEX.IF2410,CFFEX,IF2410,imported,38,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2410.csv,,2026-04-22T13:55:34
CFFEX.IF2411,CFFEX,IF2411,imported,35,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2411.csv,,2026-04-22T13:55:34
CFFEX.IF2412,CFFEX,IF2412,imported,164,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2412.csv,,2026-04-22T13:55:34
CFFEX.IF2501,CFFEX,IF2501,imported,44,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2501.csv,,2026-04-22T13:55:34
CFFEX.IF2502,CFFEX,IF2502,imported,38,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2502.csv,,2026-04-22T13:55:34
