window_id,window_group,duration_years,requested_start,requested_end,complete_window,terminal_near_complete,A_end_equity,C_end_equity,A_return_pct,C_return_pct,delta_return_pct,A_max_dd_pct,C_max_dd_pct,dd_worsening_pp,A_sharpe,C_sharpe,delta_sharpe,A_slippage,C_slippage,A_trades,C_trades,A_win_rate_pct,C_win_rate_pct,A_survival_pass,C_survival_pass,A_broker100_pass,C_broker100_pass,return_win,C_positive,A_positive,dd_noninferior_2pp,sharpe_noninferior_005,A_dd40_fail,C_dd40_fail,A_dd50_fail,C_dd50_fail
roll_1y_2022_06,rolling_1y,1,2022-06-01,2023-05-31,1,0,145030.0,145030.0,-3.313333333333335,-3.313333333333335,0.0,-45.71011454667965,-45.71011454667965,0.0,0.12169131646924981,0.12169131646924981,0.0,3960.0,3960.0,50,50,43.333333333333336,43.333333333333336,1,1,1,1,1,0,0,1,1,1,1,0,0
roll_1y_2023_01,rolling_1y,1,2023-01-01,2023-12-31,1,0,142085.0,144525.0,-5.276666666666663,-3.6499999999999977,1.6266666666666652,-24.468997361477573,-24.468997361477573,0.0,-0.09566067899127137,-0.022588087434062716,0.07307259155720866,3530.0,3470.0,61,61,50.0,50.74626865671642,1,1,1,1,1,0,0,1,1,0,0,0,0
roll_1y_2023_06,rolling_1y,1,2023-06-01,2024-05-31,1,0,247100.0,236815.0,64.73333333333333,57.876666666666665,-6.856666666666669,-12.649247822644494,-13.087982959588185,0.4387351369436914,1.6881188553509492,1.566970901557936,-0.12114795379301313,6280.0,5850.0,85,85,55.367231638418076,55.932203389830505,1,1,1,1,0,1,1,1,0,0,0,0,0
roll_1y_2024_01,rolling_1y,1,2024-01-01,2024-12-31,1,0,234805.00000000003,238130.00000000003,56.536666666666676,58.753333333333345,2.2166666666666686,-12.063644919130677,-12.063644919130677,0.0,1.778983404520324,1.8141846793676024,0.03520127484727831,6480.0,6830.0,80,82,54.891304347826086,54.891304347826086,1,1,1,1,1,1,1,1,1,0,0,0,0
roll_1y_2024_06,rolling_1y,1,2024-06-01,2025-05-31,1,0,154400.0,152355.0,2.9333333333333433,1.5700000000000047,-1.3633333333333386,-13.415073927154708,-15.229178394714227,1.8141044675595186,0.24826669695292153,0.18434133727280974,-0.06392535968011179,4000.0,4490.0,56,62,48.1203007518797,48.529411764705884,1,1,1,1,0,1,1,1,0,0,0,0,0
roll_1y_2025_01,rolling_1y,1,2025-01-01,2025-12-31,1,0,218635.80000000002,237755.80000000002,45.75720000000001,58.50386666666667,12.746666666666655,-22.6508042631848,-19.30776463213978,0.0,1.1431759250125664,1.3240875333866873,0.1809116083741209,5410.0,6090.0,56,62,47.74774774774775,50.0,1,1,1,1,1,1,1,1,1,0,0,0,0
roll_1y_2025_06_near_complete,rolling_1y,1,2025-06-01,2026-05-29,0,1,208977.80000000005,209457.80000000005,39.31853333333337,39.638533333333356,0.3199999999999861,-22.048158640226625,-22.048158640226625,0.0,1.0828344431661177,1.0890754179387014,0.006240974772583785,6590.0,6430.0,66,66,51.0,51.0,1,1,1,1,1,1,1,1,1,0,0,0,0
roll_2y_2018_01,rolling_2y,2,2018-01-01,2019-12-31,1,0,206552.80000000005,205169.90000000002,37.7018666666667,36.77993333333336,-0.9219333333333424,-24.413557863402513,-16.416340158343566,0.0,0.767255356969052,0.7191294461364737,-0.048125910832578334,12070.0,13060.0,162,172,46.53465346534654,48.68804664723032,1,1,1,1,0,1,1,1,1,0,0,0,0
roll_2y_2018_06,rolling_2y,2,2018-06-01,2020-05-31,1,0,339416.00000000006,358180.9,126.27733333333336,138.7872666666667,12.50993333333335,-23.871460860119264,-17.13943284192694,0.0,1.5570934162260022,1.5489516490458055,-0.008141767180196657,19170.0,20650.0,182,190,51.2,52.05128205128206,1,1,1,1,1,1,1,1,1,0,0,0,0
roll_2y_2019_01,rolling_2y,2,2019-01-01,2020-12-31,1,0,681587.0000000002,582496.6000000002,354.3913333333335,288.3310666666668,-66.06026666666668,-26.998313652787065,-25.900801296105925,0.0,2.1357065136146547,1.9975998063400942,-0.13810670727456054,41080.0,40270.0,249,256,56.30769230769231,55.75,1,1,1,1,0,1,1,1,0,0,0,0,0
