variant,label,profile,window_name,window_label,window_group,analysis_start,analysis_end,account_capital,c3_capital,risk_multiplier,trading_days,end_equity,total_return_pct,cagr_pct,max_dd_pct,ulcer_pct,sharpe,min_equity,max_broker10_margin_to_equity_pct,p95_broker10_margin_to_equity_pct,days_over_100pct,days_over_90pct,days_equity_below_zero,total_slippage,total_trade_count,nonzero_daily_win_rate_pct,forced_margin_deleverage_count,forced_margin_deleverage_closed_volume,dd30_pass,dd40_pass,broker10_100_pass,account_survival_pass,deployable_pass,source_name,rebased_end_equity,rebased_total_return_pct,rebased_cagr_pct,rebased_max_dd_pct,rebased_sharpe,rebased_min_equity,max_broker10_margin_to_rebased_equity_pct,p95_broker10_margin_to_rebased_equity_pct,nav_end,oi_mode,am_label,declared_am_size,note,requested_start_month,start_month,start_year,start_month_num,positive_return,mature_63d,mature_126d,mature_252d,dd40_fail,dd50_fail,arm,experiment_arm,window_id,duration_years,requested_start,requested_end,complete_window,terminal_near_complete,promotion_arm
stage029_B_roll_1y_2019_01,B: Stage027（立即换月、新主力自身K线）,stage029_B_roll_1y_2019_01,roll_1y_2019_01,2019-01-01 independent start to 2019-12-31,rolling_1y,2019-01-02,2019-12-31,150000.0,150000.0,0.4,244,210567.4,40.37826666666668,40.67369383063715,-21.571317026531755,9.832666413640077,1.3264654966121237,123044.80000000002,72.09253289863014,54.70796549464677,0,0,0,7740.0,101.0,50.81967213114754,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,210567.4,40.37826666666668,40.67369383063715,-21.571317026531755,1.3264654966121237,123044.80000000002,72.09253289863014,54.70796549464677,1.4037826666666668,,,,,2019-01,2019-01,2019,1,1,1,1,0,0,0,stage029_B_roll_1y_2019_01,B,roll_1y_2019_01,1,2019-01-01,2019-12-31,1,0,B
stage029_C_roll_1y_2019_01,C: Stage028（延迟5交易日、新主力自身K线）,stage029_C_roll_1y_2019_01,roll_1y_2019_01,2019-01-01 independent start to 2019-12-31,rolling_1y,2019-01-02,2019-12-31,150000.0,150000.0,0.4,244,208797.4,39.19826666666668,39.483912152060306,-21.571317026531755,9.83228822640316,1.295953187204724,123044.80000000002,72.09253289863014,57.2077004815473,0,0,0,7660.0,100.0,51.21951219512195,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,208797.4,39.19826666666668,39.483912152060306,-21.571317026531755,1.295953187204724,123044.80000000002,72.09253289863014,57.2077004815473,1.3919826666666668,,,,,2019-01,2019-01,2019,1,1,1,1,0,0,0,stage029_C_roll_1y_2019_01,C,roll_1y_2019_01,1,2019-01-01,2019-12-31,1,0,C
stage029_A_roll_1y_2019_06,A: 当前正式 Q（立即换月、旧主力复权历史）,stage029_A_roll_1y_2019_06,roll_1y_2019_06,2019-06-01 independent start to 2020-05-31,rolling_1y,2019-06-03,2020-05-29,150000.0,150000.0,0.4,242,238832.0,59.22133333333333,60.09559684321128,-11.413532754878297,4.803244621560899,1.845257566961287,140489.0,58.73453273448179,49.67091009446739,0,0,0,9550.0,105.0,54.59183673469388,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,238832.0,59.22133333333333,60.09559684321128,-11.413532754878297,1.845257566961287,140489.0,58.73453273448179,49.67091009446739,1.5922133333333333,,,,,2019-06,2019-06,2019,6,1,1,1,0,0,0,stage029_A_roll_1y_2019_06,A,roll_1y_2019_06,1,2019-06-01,2020-05-31,1,0,A
stage029_B_roll_1y_2019_06,B: Stage027（立即换月、新主力自身K线）,stage029_B_roll_1y_2019_06,roll_1y_2019_06,2019-06-01 independent start to 2020-05-31,rolling_1y,2019-06-03,2020-05-29,150000.0,150000.0,0.4,242,252862.0,68.57466666666667,69.61423664832569,-9.815854317656624,3.7875628681891023,2.108658437249646,140489.0,62.14118241779405,50.112412709053395,0,0,0,10120.0,102.0,57.961783439490446,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,252862.0,68.57466666666667,69.61423664832569,-9.815854317656624,2.108658437249646,140489.0,62.14118241779405,50.112412709053395,1.6857466666666667,,,,,2019-06,2019-06,2019,6,1,1,1,0,0,0,stage029_B_roll_1y_2019_06,B,roll_1y_2019_06,1,2019-06-01,2020-05-31,1,0,B
stage029_C_roll_1y_2019_06,C: Stage028（延迟5交易日、新主力自身K线）,stage029_C_roll_1y_2019_06,roll_1y_2019_06,2019-06-01 independent start to 2020-05-31,rolling_1y,2019-06-03,2020-05-29,150000.0,150000.0,0.4,242,250702.0,67.13466666666667,68.1483728904984,-11.880113505102065,4.209700468850877,2.101942359240135,140489.0,62.11579680234728,51.95176147386898,0,0,0,9060.0,98.0,57.961783439490446,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,250702.0,67.13466666666667,68.1483728904984,-11.880113505102065,2.101942359240135,140489.0,62.11579680234728,51.95176147386898,1.6713466666666668,,,,,2019-06,2019-06,2019,6,1,1,1,0,0,0,stage029_C_roll_1y_2019_06,C,roll_1y_2019_06,1,2019-06-01,2020-05-31,1,0,C
stage029_A_roll_1y_2020_01,A: 当前正式 Q（立即换月、旧主力复权历史）,stage029_A_roll_1y_2020_01,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,2020-01-02,2020-12-31,150000.0,150000.0,0.4,243,355154.00000000006,136.76933333333338,137.47117963202692,-24.604461486658668,7.205488219194457,2.2889328991683984,141520.0,80.94805622524142,68.66705590916273,0,0,0,15760.0,133.0,58.46153846153847,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,355154.00000000006,136.76933333333338,137.47117963202692,-24.604461486658668,2.2889328991683984,141520.0,80.94805622524142,68.66705590916273,2.367693333333334,,,,,2020-01,2020-01,2020,1,1,1,1,0,0,0,stage029_A_roll_1y_2020_01,A,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,A
stage029_B_roll_1y_2020_01,B: Stage027（立即换月、新主力自身K线）,stage029_B_roll_1y_2020_01,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,2020-01-02,2020-12-31,150000.0,150000.0,0.4,243,355154.00000000006,136.76933333333338,137.47117963202692,-24.604461486658668,7.205488219194457,2.2889328991683984,141520.0,80.94805622524142,68.66705590916273,0,0,0,15760.0,133.0,58.46153846153847,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,355154.00000000006,136.76933333333338,137.47117963202692,-24.604461486658668,2.2889328991683984,141520.0,80.94805622524142,68.66705590916273,2.367693333333334,,,,,2020-01,2020-01,2020,1,1,1,1,0,0,0,stage029_B_roll_1y_2020_01,B,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,B
stage029_C_roll_1y_2020_01,C: Stage028（延迟5交易日、新主力自身K线）,stage029_C_roll_1y_2020_01,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,2020-01-02,2020-12-31,150000.0,150000.0,0.4,243,351634.9,134.42326666666668,135.1101184836085,-24.71378927128719,7.332582030906009,2.2915060433901138,141520.0,76.58986328621991,67.03940425249166,0,0,0,14850.0,127.0,57.57575757575758,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,351634.9,134.42326666666668,135.1101184836085,-24.71378927128719,2.2915060433901138,141520.0,76.58986328621991,67.03940425249166,2.344232666666666,,,,,2020-01,2020-01,2020,1,1,1,1,0,0,0,stage029_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C
stage029_A_roll_1y_2020_06,A: 当前正式 Q（立即换月、旧主力复权历史）,stage029_A_roll_1y_2020_06,roll_1y_2020_06,2020-06-01 independent start to 2021-05-31,rolling_1y,2020-06-01,2021-05-31,150000.0,150000.0,0.4,243,745269.8,396.84653333333335,399.58931017659467,-24.431964885101987,8.954401055695168,3.259528267981911,146400.0,73.36530629488804,63.67976981034845,0,0,0,17340.0,136.0,61.274509803921575,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,745269.8,396.84653333333335,399.58931017659467,-24.431964885101987,3.259528267981911,146400.0,73.36530629488804,63.67976981034845,4.9684653333333335,,,,,2020-06,2020-06,2020,6,1,1,1,0,0,0,stage029_A_roll_1y_2020_06,A,roll_1y_2020_06,1,2020-06-01,2021-05-31,1,0,A
stage029_B_roll_1y_2020_06,B: Stage027（立即换月、新主力自身K线）,stage029_B_roll_1y_2020_06,roll_1y_2020_06,2020-06-01 independent start to 2021-05-31,rolling_1y,2020-06-01,2021-05-31,150000.0,150000.0,0.4,243,931093.9,520.7292666666666,524.6332533362763,-23.35785593749905,9.582161299278948,3.493757562647898,146400.0,80.4174738605208,68.03510210603203,0,0,0,20730.0,139.0,60.69651741293532,0,0.0,1,1,1,1,1,stage772_am40_80_120_oi_monthly,931093.9,520.7292666666666,524.6332533362763,-23.35785593749905,3.493757562647898,146400.0,80.4174738605208,68.03510210603203,6.207292666666667,,,,,2020-06,2020-06,2020,6,1,1,1,0,0,0,stage029_B_roll_1y_2020_06,B,roll_1y_2020_06,1,2020-06-01,2021-05-31,1,0,B
