date,variant,label,window_name,window_label,window_group,account_capital,account_equity,nav,drawdown_pct,broker10_margin_to_equity_pct,net_pnl,trade_count,total_slippage,source_name,rebased_equity,rebased_nav,broker10_margin_to_rebased_equity_pct,profile,oi_mode,am_label,declared_am_size,requested_start_month,start_month,arm,experiment_arm,window_id,duration_years,requested_start,requested_end,complete_window,terminal_near_complete,promotion_arm,start_year,start_month_num
2020-07-27 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,195390.00000000003,1.3026000000000002,-3.1236055332440893,35.91543067710732,50.0,1,10.0,stage772_am40_80_120_oi_monthly,195390.00000000003,1.3026000000000002,35.91543067710732,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-07-28 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,197610.00000000003,1.3174000000000001,-2.0229064405771213,35.65222407772885,2220.0,0,0.0,stage772_am40_80_120_oi_monthly,197610.00000000003,1.3174000000000001,35.65222407772885,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-07-29 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,195180.00000000003,1.3012000000000001,-3.227725717685559,36.033200122963414,-2430.0,0,0.0,stage772_am40_80_120_oi_monthly,195180.00000000003,1.3012000000000001,36.033200122963414,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-07-30 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,198330.00000000003,1.3222000000000003,-1.6659229510635143,35.47487520798669,3150.0,0,0.0,stage772_am40_80_120_oi_monthly,198330.00000000003,1.3222000000000003,35.47487520798669,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-07-31 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,196920.00000000003,1.3128000000000002,-2.365015618027666,35.9199268738574,-1410.0,0,0.0,stage772_am40_80_120_oi_monthly,196920.00000000003,1.3128000000000002,35.9199268738574,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-08-03 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,198450.00000000003,1.3230000000000002,-1.6064257028112428,41.30601158982111,1530.0,2,80.0,stage772_am40_80_120_oi_monthly,198450.00000000003,1.3230000000000002,41.30601158982111,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-08-04 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,205440.00000000003,1.3696000000000002,0.0,24.488707165109034,6990.0,1,180.0,stage772_am40_80_120_oi_monthly,205440.00000000003,1.3696000000000002,24.488707165109034,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-08-05 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,205350.00000000003,1.3690000000000002,-0.043808411214951715,24.498475773070368,-90.0,0,0.0,stage772_am40_80_120_oi_monthly,205350.00000000003,1.3690000000000002,24.498475773070368,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-08-06 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,210100.00000000003,1.400666666666667,0.0,24.243560209424082,4750.0,0,0.0,stage772_am40_80_120_oi_monthly,210100.00000000003,1.400666666666667,24.243560209424082,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-08-07 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,215440.00000000003,1.4362666666666668,0.0,23.97289268473821,5340.0,0,0.0,stage772_am40_80_120_oi_monthly,215440.00000000003,1.4362666666666668,23.97289268473821,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
