date,variant,label,window_name,window_label,window_group,account_capital,account_equity,nav,drawdown_pct,broker10_margin_to_equity_pct,net_pnl,trade_count,total_slippage,source_name,rebased_equity,rebased_nav,broker10_margin_to_rebased_equity_pct,profile,oi_mode,am_label,declared_am_size,requested_start_month,start_month,arm,window_id,duration_years,requested_start,requested_end,complete_window,terminal_near_complete,promotion_arm,start_year,start_month_num,experiment_arm
2025-03-03,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6616331.400000004,44.10887600000003,-24.715188816933175,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,6616331.400000004,44.10887600000003,0.0,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2025-03-04,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6616331.400000004,44.10887600000003,-24.715188816933175,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,6616331.400000004,44.10887600000003,0.0,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2025-03-05,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6616331.400000004,44.10887600000003,-24.715188816933175,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,6616331.400000004,44.10887600000003,0.0,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2025-03-06,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6616331.400000004,44.10887600000003,-24.715188816933175,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,6616331.400000004,44.10887600000003,0.0,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2025-03-07,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6677771.400000004,44.51847600000003,-24.01608556477631,39.91114520631836,61440.0,1,7680.0,stage772_am40_80_120_oi_monthly,6677771.400000004,44.51847600000003,39.91114520631836,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2025-03-10,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6931211.400000004,46.20807600000003,-21.13228464962922,38.93445119853073,253440.0,0,0.0,stage772_am40_80_120_oi_monthly,6931211.400000004,46.20807600000003,38.93445119853073,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2025-03-11,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,7169291.400000004,47.79527600000003,-18.423259547521344,38.079853749563014,238080.0,0,0.0,stage772_am40_80_120_oi_monthly,7169291.400000004,47.79527600000003,38.079853749563014,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2025-03-12,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,7084811.400000004,47.23207600000003,-19.38452651923705,38.3765236150111,-84480.0,0,0.0,stage772_am40_80_120_oi_monthly,7084811.400000004,47.23207600000003,38.3765236150111,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2025-03-13,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6969611.400000004,46.46407600000003,-20.695345117031177,38.79266382053952,-115200.0,0,0.0,stage772_am40_80_120_oi_monthly,6969611.400000004,46.46407600000003,38.79266382053952,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2025-03-14,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,7322891.400000004,48.81927600000003,-16.67550141712917,37.55799082313304,353280.0,0,0.0,stage772_am40_80_120_oi_monthly,7322891.400000004,48.81927600000003,37.55799082313304,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
