requested_top_n,eval_date,actual_ranked_count,actual_total_count,formal_top8_preserved,fixed_fu_present,member_signature
10,2025-03-31,10,11,True,True,"AP.CZCE,CF.CZCE,MA.CZCE,au.SHFE,fu.SHFE,hc.SHFE,lc.GFEX,lh.DCE,rb.SHFE,ru.SHFE,sp.SHFE"
10,2025-04-30,10,11,True,True,"AP.CZCE,CF.CZCE,MA.CZCE,au.SHFE,cu.SHFE,fu.SHFE,lc.GFEX,lh.DCE,rb.SHFE,ru.SHFE,sp.SHFE"
10,2025-05-30,10,11,True,True,"AP.CZCE,MA.CZCE,SH.CZCE,au.SHFE,cu.SHFE,fu.SHFE,hc.SHFE,lh.DCE,rb.SHFE,ru.SHFE,sp.SHFE"
10,2025-06-30,10,11,True,True,"FG.CZCE,MA.CZCE,OI.CZCE,SA.CZCE,au.SHFE,fu.SHFE,lc.GFEX,lh.DCE,rb.SHFE,si.GFEX,sp.SHFE"
10,2025-07-31,10,11,True,True,"FG.CZCE,MA.CZCE,SA.CZCE,SH.CZCE,au.SHFE,cu.SHFE,fu.SHFE,hc.SHFE,lh.DCE,ru.SHFE,sp.SHFE"
10,2025-08-29,10,11,True,True,"FG.CZCE,MA.CZCE,OI.CZCE,au.SHFE,cu.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lh.DCE,rb.SHFE,sp.SHFE"
10,2025-09-30,10,11,True,True,"FG.CZCE,MA.CZCE,SA.CZCE,fu.SHFE,hc.SHFE,jm.DCE,lc.GFEX,lh.DCE,rb.SHFE,si.GFEX,sp.SHFE"
10,2025-10-31,10,11,True,True,"FG.CZCE,OI.CZCE,au.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lc.GFEX,lh.DCE,rb.SHFE,ru.SHFE,sp.SHFE"
10,2025-11-28,10,11,True,True,"FG.CZCE,SA.CZCE,fu.SHFE,hc.SHFE,jm.DCE,lc.GFEX,lh.DCE,rb.SHFE,ru.SHFE,si.GFEX,sp.SHFE"
10,2025-12-31,10,11,True,True,"FG.CZCE,MA.CZCE,OI.CZCE,SH.CZCE,SM.CZCE,fu.SHFE,hc.SHFE,jm.DCE,lh.DCE,rb.SHFE,ru.SHFE"
10,2026-01-30,10,11,True,True,"AP.CZCE,FG.CZCE,MA.CZCE,SH.CZCE,au.SHFE,fu.SHFE,jm.DCE,lh.DCE,rb.SHFE,ru.SHFE,si.GFEX"
10,2026-02-27,10,11,True,True,"AP.CZCE,FG.CZCE,MA.CZCE,OI.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,fu.SHFE,lh.DCE,ru.SHFE,si.GFEX"
10,2026-03-31,10,11,True,True,"FG.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,jm.DCE,lh.DCE,ru.SHFE,si.GFEX,sp.SHFE"
10,2026-04-30,10,11,True,True,"AP.CZCE,FG.CZCE,MA.CZCE,OI.CZCE,SA.CZCE,SH.CZCE,fu.SHFE,jm.DCE,rb.SHFE,ru.SHFE,si.GFEX"
10,2026-05-29,10,11,True,True,"AP.CZCE,FG.CZCE,MA.CZCE,OI.CZCE,SA.CZCE,SM.CZCE,fu.SHFE,jm.DCE,rb.SHFE,ru.SHFE,si.GFEX"
10,2026-06-30,10,11,True,True,"AP.CZCE,CF.CZCE,FG.CZCE,SA.CZCE,SM.CZCE,au.SHFE,cu.SHFE,fu.SHFE,jm.DCE,ru.SHFE,si.GFEX"
10,2026-07-31,10,11,True,True,"MA.CZCE,OI.CZCE,SA.CZCE,SM.CZCE,au.SHFE,cu.SHFE,fu.SHFE,jm.DCE,lc.GFEX,lh.DCE,si.GFEX"
