requested_top_n,eval_date,actual_ranked_count,actual_total_count,formal_top8_preserved,fixed_fu_present,membership_policy,strict_model_top9_match,strict_model_top9_signature,selected_non_fu_signature,added_vs_strict_top9,excluded_vs_strict_top9,selected_source_ranks,ranking_provenance,member_signature
9,2023-09-28,9,10,True,True,strict_model_top9_plus_fixed_fu,True,"lc.GFEX,SH.CZCE,lh.DCE,SM.CZCE,cu.SHFE,ru.SHFE,si.GFEX,MA.CZCE,OI.CZCE","MA.CZCE,OI.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,lc.GFEX,lh.DCE,ru.SHFE,si.GFEX",,,"lc.GFEX:1,SH.CZCE:2,lh.DCE:3,SM.CZCE:4,cu.SHFE:5,ru.SHFE:6,si.GFEX:7,MA.CZCE:8,OI.CZCE:9",frozen_market_walkforward_v2,"MA.CZCE,OI.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,lc.GFEX,lh.DCE,ru.SHFE,si.GFEX"
9,2023-10-31,9,10,True,True,strict_model_top9_plus_fixed_fu,True,"lc.GFEX,OI.CZCE,jm.DCE,MA.CZCE,SH.CZCE,ru.SHFE,CF.CZCE,SM.CZCE,cu.SHFE","CF.CZCE,MA.CZCE,OI.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,jm.DCE,lc.GFEX,ru.SHFE",,,"lc.GFEX:1,OI.CZCE:2,jm.DCE:3,MA.CZCE:4,SH.CZCE:5,ru.SHFE:6,CF.CZCE:7,SM.CZCE:8,cu.SHFE:9",frozen_market_walkforward_v2,"CF.CZCE,MA.CZCE,OI.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,jm.DCE,lc.GFEX,ru.SHFE"
9,2023-11-30,9,10,True,True,strict_model_top9_plus_fixed_fu,True,"jm.DCE,sp.SHFE,lh.DCE,lc.GFEX,SA.CZCE,SM.CZCE,cu.SHFE,OI.CZCE,ru.SHFE","OI.CZCE,SA.CZCE,SM.CZCE,cu.SHFE,jm.DCE,lc.GFEX,lh.DCE,ru.SHFE,sp.SHFE",,,"jm.DCE:1,sp.SHFE:2,lh.DCE:3,lc.GFEX:4,SA.CZCE:5,SM.CZCE:6,cu.SHFE:7,OI.CZCE:8,ru.SHFE:9",frozen_market_walkforward_v2,"OI.CZCE,SA.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,jm.DCE,lc.GFEX,lh.DCE,ru.SHFE,sp.SHFE"
9,2023-12-29,9,10,True,True,strict_model_top9_plus_fixed_fu,True,"cu.SHFE,jm.DCE,SM.CZCE,sp.SHFE,CF.CZCE,lh.DCE,OI.CZCE,MA.CZCE,SA.CZCE","CF.CZCE,MA.CZCE,OI.CZCE,SA.CZCE,SM.CZCE,cu.SHFE,jm.DCE,lh.DCE,sp.SHFE",,,"cu.SHFE:1,jm.DCE:2,SM.CZCE:3,sp.SHFE:4,CF.CZCE:5,lh.DCE:6,OI.CZCE:7,MA.CZCE:8,SA.CZCE:9",frozen_market_walkforward_v2,"CF.CZCE,MA.CZCE,OI.CZCE,SA.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,jm.DCE,lh.DCE,sp.SHFE"
9,2024-01-31,9,10,True,True,strict_model_top9_plus_fixed_fu,True,"sp.SHFE,jm.DCE,ru.SHFE,SM.CZCE,lc.GFEX,OI.CZCE,si.GFEX,SH.CZCE,SA.CZCE","OI.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,jm.DCE,lc.GFEX,ru.SHFE,si.GFEX,sp.SHFE",,,"sp.SHFE:1,jm.DCE:2,ru.SHFE:3,SM.CZCE:4,lc.GFEX:5,OI.CZCE:6,si.GFEX:7,SH.CZCE:8,SA.CZCE:9",frozen_market_walkforward_v2,"OI.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,fu.SHFE,jm.DCE,lc.GFEX,ru.SHFE,si.GFEX,sp.SHFE"
9,2024-02-29,9,10,True,True,strict_model_top9_plus_fixed_fu,True,"FG.CZCE,OI.CZCE,SM.CZCE,ru.SHFE,MA.CZCE,jm.DCE,si.GFEX,SH.CZCE,cu.SHFE","FG.CZCE,MA.CZCE,OI.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,jm.DCE,ru.SHFE,si.GFEX",,,"FG.CZCE:1,OI.CZCE:2,SM.CZCE:3,ru.SHFE:4,MA.CZCE:5,jm.DCE:6,si.GFEX:7,SH.CZCE:8,cu.SHFE:9",frozen_market_walkforward_v2,"FG.CZCE,MA.CZCE,OI.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,jm.DCE,ru.SHFE,si.GFEX"
9,2024-03-29,9,10,True,True,strict_model_top9_plus_fixed_fu,True,"SM.CZCE,lc.GFEX,FG.CZCE,OI.CZCE,SH.CZCE,MA.CZCE,si.GFEX,ru.SHFE,cu.SHFE","FG.CZCE,MA.CZCE,OI.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,lc.GFEX,ru.SHFE,si.GFEX",,,"SM.CZCE:1,lc.GFEX:2,FG.CZCE:3,OI.CZCE:4,SH.CZCE:5,MA.CZCE:6,si.GFEX:7,ru.SHFE:8,cu.SHFE:9",frozen_market_walkforward_v2,"FG.CZCE,MA.CZCE,OI.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,lc.GFEX,ru.SHFE,si.GFEX"
9,2024-04-30,9,10,True,True,strict_model_top9_plus_fixed_fu,True,"SM.CZCE,ru.SHFE,SA.CZCE,lh.DCE,lc.GFEX,MA.CZCE,FG.CZCE,cu.SHFE,si.GFEX","FG.CZCE,MA.CZCE,SA.CZCE,SM.CZCE,cu.SHFE,lc.GFEX,lh.DCE,ru.SHFE,si.GFEX",,,"SM.CZCE:1,ru.SHFE:2,SA.CZCE:3,lh.DCE:4,lc.GFEX:5,MA.CZCE:6,FG.CZCE:7,cu.SHFE:8,si.GFEX:9",frozen_market_walkforward_v2,"FG.CZCE,MA.CZCE,SA.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,lc.GFEX,lh.DCE,ru.SHFE,si.GFEX"
9,2024-05-31,9,10,True,True,strict_model_top9_plus_fixed_fu,True,"SM.CZCE,SA.CZCE,lc.GFEX,SH.CZCE,lh.DCE,si.GFEX,ru.SHFE,MA.CZCE,sp.SHFE","MA.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,lc.GFEX,lh.DCE,ru.SHFE,si.GFEX,sp.SHFE",,,"SM.CZCE:1,SA.CZCE:2,lc.GFEX:3,SH.CZCE:4,lh.DCE:5,si.GFEX:6,ru.SHFE:7,MA.CZCE:8,sp.SHFE:9",frozen_market_walkforward_v2,"MA.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,fu.SHFE,lc.GFEX,lh.DCE,ru.SHFE,si.GFEX,sp.SHFE"
9,2024-06-28,9,10,True,True,strict_model_top9_plus_fixed_fu,True,"SM.CZCE,SA.CZCE,SH.CZCE,lh.DCE,si.GFEX,AP.CZCE,cu.SHFE,ru.SHFE,lc.GFEX","AP.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,lc.GFEX,lh.DCE,ru.SHFE,si.GFEX",,,"SM.CZCE:1,SA.CZCE:2,SH.CZCE:3,lh.DCE:4,si.GFEX:5,AP.CZCE:6,cu.SHFE:7,ru.SHFE:8,lc.GFEX:9",frozen_market_walkforward_v2,"AP.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,lc.GFEX,lh.DCE,ru.SHFE,si.GFEX"
