date,variant,label,window_name,window_label,window_group,account_capital,account_equity,nav,drawdown_pct,broker10_margin_to_equity_pct,net_pnl,trade_count,total_slippage,source_name,rebased_equity,rebased_nav,broker10_margin_to_rebased_equity_pct,profile,oi_mode,am_label,declared_am_size,requested_start_month,start_month,arm,experiment_arm,requested_top_n,actual_ranked_count,actual_total_count
2023-06-20 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,4157303.799999999,27.71535866666666,-36.54639497829733,26.171247095292877,275.0,2,5825.0,stage772_am40_80_120_oi_monthly,4157303.799999999,27.71535866666666,26.171247095292877,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-06-21 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,4229003.799999999,28.193358666666654,-35.45202620013488,64.70643393604898,71700.0,1,1800.0,stage772_am40_80_120_oi_monthly,4229003.799999999,28.193358666666654,64.70643393604898,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-06-26 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,4186353.799999999,27.909025333333325,-36.10300009676847,65.2599859094566,-42650.0,0,0.0,stage772_am40_80_120_oi_monthly,4186353.799999999,27.909025333333325,65.2599859094566,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-06-27 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,4073453.799999999,27.15635866666666,-37.826211185395245,66.61579419410626,-112900.0,0,0.0,stage772_am40_80_120_oi_monthly,4073453.799999999,27.15635866666666,66.61579419410626,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-06-28 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,3892503.799999999,25.95002533333333,-40.58808050768945,69.00960893088919,-180950.0,0,0.0,stage772_am40_80_120_oi_monthly,3892503.799999999,25.95002533333333,69.00960893088919,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-06-29 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,3782603.799999999,25.21735866666666,-42.26550210769018,0.0,-109900.0,2,3950.0,stage772_am40_80_120_oi_monthly,3782603.799999999,25.21735866666666,0.0,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-06-30 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,3782603.799999999,25.21735866666666,-42.26550210769018,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,3782603.799999999,25.21735866666666,0.0,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-07-03 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,3782603.799999999,25.21735866666666,-42.26550210769018,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,3782603.799999999,25.21735866666666,0.0,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-07-04 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,3782603.799999999,25.21735866666666,-42.26550210769018,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,3782603.799999999,25.21735866666666,0.0,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-07-05 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,3673103.799999999,24.48735866666666,-43.93681844254077,84.248634628839,-109500.0,2,6630.0,stage772_am40_80_120_oi_monthly,3673103.799999999,24.48735866666666,84.248634628839,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
