logical_path,payload_path,role,storage,size_bytes,sha256,source_path
examples/portfolio_backtesting/analyze_qmt_roll_stage659_stage653_2026_ytd_latest_ai_shadow.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage659_stage653_2026_ytd_latest_ai_shadow.py,runtime_code,git,26541,0512b3f848e99270f4fc135e24191c6de505746b5a55dbb15630759f6ab16e9c,examples/portfolio_backtesting/analyze_qmt_roll_stage659_stage653_2026_ytd_latest_ai_shadow.py
examples/portfolio_backtesting/analyze_qmt_roll_stage660_stage653_multiperiod_live_audit.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage660_stage653_multiperiod_live_audit.py,runtime_code,git,37174,bbc61418abb611edcb04e44692020499d1841af1b7ea78287d60ecd50c3716ed,examples/portfolio_backtesting/analyze_qmt_roll_stage660_stage653_multiperiod_live_audit.py
examples/portfolio_backtesting/analyze_qmt_roll_stage707_recovery_all_cases_multiperiod.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage707_recovery_all_cases_multiperiod.py,runtime_code,git,26571,d3d76b7fbe44b38a0b95d92109b16268f22f04d48eed8d148351f972edf9049e,examples/portfolio_backtesting/analyze_qmt_roll_stage707_recovery_all_cases_multiperiod.py
examples/portfolio_backtesting/analyze_qmt_roll_stage719_official_winner_trade_forensics.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage719_official_winner_trade_forensics.py,runtime_code,git,34641,24e6f7ff58086a36fb7ce5aea15e3965051c326b67089125e6a63b3979227954,examples/portfolio_backtesting/analyze_qmt_roll_stage719_official_winner_trade_forensics.py
examples/portfolio_backtesting/analyze_qmt_roll_stage745_quarter_risk_no_streak_multiperiod.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage745_quarter_risk_no_streak_multiperiod.py,runtime_code,git,13195,14ea082e3c180d0cc8ea381926b22f79bcf1164caca3f84c236626b12dea0a78,examples/portfolio_backtesting/analyze_qmt_roll_stage745_quarter_risk_no_streak_multiperiod.py
examples/portfolio_backtesting/analyze_qmt_roll_stage746_half_risk_no_streak_multiperiod.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage746_half_risk_no_streak_multiperiod.py,runtime_code,git,13051,8cb379b1cb8b2cd82b577ae154fd64bfb44fdbe50d2996c9700eccdb44dd628d,examples/portfolio_backtesting/analyze_qmt_roll_stage746_half_risk_no_streak_multiperiod.py
examples/portfolio_backtesting/analyze_qmt_roll_stage748_half_risk_no_streak_500k.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage748_half_risk_no_streak_500k.py,runtime_code,git,22891,ad781b018c18ff60606147d040a5fbf5bf4a93d8fd2f4ca8699083102370a560,examples/portfolio_backtesting/analyze_qmt_roll_stage748_half_risk_no_streak_500k.py
examples/portfolio_backtesting/analyze_qmt_roll_stage752_theoretical_winner_kline_atlas.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage752_theoretical_winner_kline_atlas.py,runtime_code,git,14856,49901e9a192b4795278437d9eb770377b6fea01aa8d2976b26949d78bd2f2985,examples/portfolio_backtesting/analyze_qmt_roll_stage752_theoretical_winner_kline_atlas.py
examples/portfolio_backtesting/analyze_qmt_roll_stage754_entry_oi_change_winner_loser.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage754_entry_oi_change_winner_loser.py,runtime_code,git,17548,70e357d66b62af41c60ea6699e8fee8200a46f1d9e429c8babd7528b8c901b93,examples/portfolio_backtesting/analyze_qmt_roll_stage754_entry_oi_change_winner_loser.py
examples/portfolio_backtesting/analyze_qmt_roll_stage757_c50_oi_confirm_risk_restore.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage757_c50_oi_confirm_risk_restore.py,runtime_code,git,19095,aa9c9c0529cc955b9a4b83369f09affcfac3049cf69d272114abcffda7ebabaf,examples/portfolio_backtesting/analyze_qmt_roll_stage757_c50_oi_confirm_risk_restore.py
